date,county,democratic,libertarian,republican,independent,other,npa,no_labels,inactive
2024-10-01,Aurora,520,2,972,224,2,97,,110
2024-10-01,Beadle,2502,26,5034,1381,41,1108,1,799
2024-10-01,Bennett,690,6,721,209,2,197,,193
2024-10-01,Bon Homme,886,13,2354,480,,221,,295
2024-10-01,Brookings,5038,105,9780,3610,21,2703,1,1610
2024-10-01,Brown,7278,95,12711,3581,11,1884,1,1140
2024-10-01,Brule,906,14,1725,465,4,213,,175
2024-10-01,Buffalo,526,2,147,68,4,88,,126
2024-10-01,Butte,773,56,4524,880,19,616,,1378
2024-10-01,Campbell,102,1,912,77,,40,,74
2024-10-01,Charles Mix,1728,9,2705,569,,342,,463
2024-10-01,Clark,543,4,1627,264,1,154,,144
2024-10-01,Clay,2853,36,2945,1396,10,1078,2,1237
2024-10-01,Codington,3845,61,10280,2584,28,1789,,1660
2024-10-01,Corson,960,5,739,275,2,278,,236
2024-10-01,Custer,1055,35,5062,1106,22,634,1,999
2024-10-01,Davison,2757,29,6763,1884,37,1448,3,1302
2024-10-01,Day,1268,11,1879,584,,154,,231
2024-10-01,Deuel,597,10,1729,487,,264,,127
2024-10-01,Dewey,1760,3,765,416,,362,,245
2024-10-01,Douglas,205,1,1650,141,,91,,116
2024-10-01,Edmunds,523,7,1766,252,2,163,,144
2024-10-01,Fall River,898,41,3904,907,2,624,1,411
2024-10-01,Faulk,200,1,1116,215,,35,,62
2024-10-01,Grant,1063,18,2685,702,11,334,,344
2024-10-01,Gregory,628,4,1820,331,,77,,156
2024-10-01,Haakon,120,2,1159,86,2,29,,64
2024-10-01,Hamlin,540,7,3039,368,,249,,224
2024-10-01,Hand,408,7,1643,187,4,49,,99
2024-10-01,Hanson,606,6,1857,495,6,362,,492
2024-10-01,Harding,64,6,830,74,1,41,,52
2024-10-01,Hughes,2129,45,7302,1391,17,882,,1064
2024-10-01,Hutchinson,722,14,3424,532,8,322,,218
2024-10-01,Hyde,153,1,648,94,,25,1,43
2024-10-01,Jackson,584,8,901,164,1,162,,135
2024-10-01,Jerauld,335,5,702,131,1,64,,70
2024-10-01,Jones,62,1,519,59,,27,1,53
2024-10-01,Kingsbury,675,8,2294,392,2,306,,288
2024-10-01,Lake,1894,25,4267,941,4,577,2,2154
2024-10-01,Lawrence,3899,171,12056,3223,45,2508,4,2419
2024-10-01,Lincoln,10002,231,24886,7663,81,5036,6,5086
2024-10-01,Lyman,658,5,1156,216,1,150,,109
2024-10-01,Marshall,964,2,1281,381,2,169,,170
2024-10-01,McCook,799,8,2340,513,3,267,,152
2024-10-01,McPherson,191,8,1326,133,,66,,177
2024-10-01,Meade,2781,155,12635,2814,20,2015,1,1669
2024-10-01,Mellette,404,2,502,184,,59,,65
2024-10-01,Miner,430,3,828,229,,103,,83
2024-10-01,Minnehaha,35790,733,57807,22393,256,17932,7,17999
2024-10-01,Moody,1301,15,1911,687,4,392,1,212
2024-10-01,Oglala Lakota,5197,19,589,980,1,1202,,657
2024-10-01,Pennington,17797,667,45868,13013,209,11659,13,10065
2024-10-01,Perkins,259,4,1545,195,4,158,,179
2024-10-01,Potter,184,1,1347,108,6,41,1,147
2024-10-01,Roberts,2371,10,2215,935,19,579,,505
2024-10-01,Sanborn,355,7,983,160,,128,1,64
2024-10-01,Spink,1001,11,2524,444,3,202,,214
2024-10-01,Stanley,331,7,1543,191,,106,,205
2024-10-01,Sully,164,5,822,108,,37,,68
2024-10-01,Todd,2688,7,669,578,6,530,,779
2024-10-01,Tripp,569,8,2420,348,7,216,,387
2024-10-01,Turner,1125,15,3595,898,,354,,246
2024-10-01,Union,2307,46,6488,2203,9,1443,1,2222
2024-10-01,Walworth,580,8,2438,333,11,243,,477
2024-10-01,Yankton,3475,61,7380,2543,14,1280,,1608
2024-10-01,Ziebach,753,5,428,171,,234,,96
