date,county,democratic,libertarian,republican,npa_ind,other,inactive
2022-10-03,Aurora,588,3,907,293,2,97
2022-10-03,Beadle,2771,23,4768,2320,37,644
2022-10-03,Bennett,721,3,719,370,2,191
2022-10-03,Bon Homme,964,10,2208,665,2,306
2022-10-03,Brookings,5120,91,8915,5940,33,1480
2022-10-03,Brown,7613,92,11782,4950,48,1887
2022-10-03,Brule,988,12,1650,605,6,124
2022-10-03,Buffalo,584,1,167,163,3,75
2022-10-03,Butte,832,51,4263,1393,15,1332
2022-10-03,Campbell,104,1,921,93,,95
2022-10-03,Charles Mix,1928,9,2570,839,5,408
2022-10-03,Clark,600,4,1552,368,15,172
2022-10-03,Clay,2966,41,2837,2412,20,750
2022-10-03,Codington,4156,52,9456,3912,30,1597
2022-10-03,Corson,1057,6,723,507,3,227
2022-10-03,Custer,1117,34,4664,1605,34,1146
2022-10-03,Davison,2904,30,6231,2781,35,1272
2022-10-03,Day,1414,10,1787,701,16,154
2022-10-03,Deuel,684,9,1614,689,8,181
2022-10-03,Dewey,1884,3,751,670,7,240
2022-10-03,Douglas,237,,1670,198,,67
2022-10-03,Edmunds,581,6,1693,386,3,186
2022-10-03,Fall River,898,34,3596,1356,34,608
2022-10-03,Faulk,215,,1074,236,2,56
2022-10-03,Grant,1176,13,2573,985,10,377
2022-10-03,Gregory,709,3,1710,382,,176
2022-10-03,Haakon,134,4,1134,117,1,60
2022-10-03,Hamlin,619,7,2848,589,3,162
2022-10-03,Hand,450,7,1566,224,5,122
2022-10-03,Hanson,672,6,1770,796,12,544
2022-10-03,Harding,75,5,798,94,,60
2022-10-03,Hughes,2228,54,7201,2085,23,864
2022-10-03,Hutchinson,782,9,3328,739,7,202
2022-10-03,Hyde,165,1,661,108,3,28
2022-10-03,Jackson,630,9,861,320,9,74
2022-10-03,Jerauld,378,6,654,186,2,65
2022-10-03,Jones,70,1,514,79,1,43
2022-10-03,Kingsbury,772,6,2209,615,3,309
2022-10-03,Lake,2117,26,4122,1648,9,1864
2022-10-03,Lawrence,3751,150,10931,4919,44,2203
2022-10-03,Lincoln,9805,206,22394,11306,70,4639
2022-10-03,Lyman,730,7,1138,336,1,60
2022-10-03,Marshall,1026,6,1215,524,4,216
2022-10-03,McCook,845,13,2200,741,6,133
2022-10-03,McPherson,219,8,1291,211,2,205
2022-10-03,Meade,3045,145,12045,4570,35,826
2022-10-03,Mellette,417,3,500,191,1,78
2022-10-03,Miner,483,4,733,317,4,86
2022-10-03,Minnehaha,36741,680,54549,37547,314,17235
2022-10-03,Moody,1370,14,1721,1003,3,349
2022-10-03,Oglala Lakota,5339,18,539,1976,44,841
2022-10-03,Pennington,17802,635,43336,23495,276,9885
2022-10-03,Perkins,287,5,1473,330,6,195
2022-10-03,Potter,217,3,1328,155,5,139
2022-10-03,Roberts,2622,14,2124,1376,22,464
2022-10-03,Sanborn,368,5,927,255,4,100
2022-10-03,Spink,1114,11,2399,607,7,212
2022-10-03,Stanley,365,5,1472,275,13,217
2022-10-03,Sully,180,4,794,138,3,62
2022-10-03,Todd,2826,5,688,1003,7,863
2022-10-03,Tripp,670,9,2317,554,9,437
2022-10-03,Turner,1222,12,3383,1177,17,205
2022-10-03,Union,2491,34,6033,3631,13,2106
2022-10-03,Walworth,642,9,2395,455,8,536
2022-10-03,Yankton,3646,65,7084,3707,15,1565
2022-10-03,Ziebach,793,7,409,377,3,113
