date,county,democratic,libertarian,republican,independent,other,npa,inactive
2023-08-01,Aurora,556,4,950,228,2,93,76
2023-08-01,Beadle,2740,22,4909,1427,37,1025,419
2023-08-01,Bennett,725,5,716,220,2,201,128
2023-08-01,Bon Homme,947,11,2262,492,2,186,220
2023-08-01,Brookings,5154,101,9273,3622,34,2521,1090
2023-08-01,Brown,7492,90,12081,3514,48,1555,1092
2023-08-01,Brule,948,14,1688,461,6,182,109
2023-08-01,Buffalo,575,2,167,73,3,94,70
2023-08-01,Butte,827,55,4431,933,14,585,1149
2023-08-01,Campbell,104,1,930,73,,29,64
2023-08-01,Charles Mix,1877,10,2639,577,5,320,307
2023-08-01,Clark,589,4,1586,271,16,97,109
2023-08-01,Clay,3034,38,2989,1448,19,1113,495
2023-08-01,Codington,4080,59,9713,2626,26,1377,1289
2023-08-01,Corson,1054,6,730,288,3,233,141
2023-08-01,Custer,1094,35,4894,1126,33,571,769
2023-08-01,Davison,2870,32,6453,1846,40,1214,1029
2023-08-01,Day,1398,12,1845,596,15,121,84
2023-08-01,Deuel,659,9,1663,495,9,202,116
2023-08-01,Dewey,1852,3,749,416,7,308,169
2023-08-01,Douglas,235,,1687,151,,75,49
2023-08-01,Edmunds,561,7,1726,272,3,120,102
2023-08-01,Fall River,903,40,3697,928,31,499,403
2023-08-01,Faulk,208,,1087,217,2,23,43
2023-08-01,Grant,1135,17,2629,728,10,278,285
2023-08-01,Gregory,684,4,1766,335,1,67,121
2023-08-01,Haakon,127,5,1148,88,1,30,42
2023-08-01,Hamlin,607,9,2958,390,3,207,75
2023-08-01,Hand,424,8,1573,184,4,48,112
2023-08-01,Hanson,655,6,1807,522,10,320,350
2023-08-01,Harding,72,6,821,72,,34,38
2023-08-01,Hughes,2208,51,7335,1433,21,753,659
2023-08-01,Hutchinson,773,12,3410,520,7,266,100
2023-08-01,Hyde,166,1,662,97,3,15,16
2023-08-01,Jackson,634,9,885,177,9,147,59
2023-08-01,Jerauld,367,5,671,134,1,56,38
2023-08-01,Jones,68,1,516,60,1,23,34
2023-08-01,Kingsbury,734,9,2262,387,3,265,249
2023-08-01,Lake,2078,28,4230,1057,8,604,1622
2023-08-01,Lawrence,3874,161,11410,3150,53,2132,1785
2023-08-01,Lincoln,10029,225,23541,7535,80,4447,3850
2023-08-01,Lyman,709,7,1149,224,1,136,30
2023-08-01,Marshall,1006,6,1254,400,4,145,144
2023-08-01,McCook,834,12,2278,511,7,252,81
2023-08-01,McPherson,216,8,1300,143,2,70,154
2023-08-01,Meade,3019,155,12423,2873,35,1898,653
2023-08-01,Mellette,421,3,499,172,1,53,40
2023-08-01,Miner,469,3,794,239,3,96,54
2023-08-01,Minnehaha,37007,718,56375,22423,312,17018,12306
2023-08-01,Moody,1358,14,1800,676,3,347,238
2023-08-01,Oglala Lakota,5380,20,555,1025,44,996,532
2023-08-01,Pennington,18175,688,45037,13102,293,11127,6069
2023-08-01,Perkins,282,5,1509,199,6,142,142
2023-08-01,Potter,204,3,1356,125,5,34,106
2023-08-01,Sanborn,361,7,960,161,3,114,67
2023-08-01,Spink,1064,11,2467,457,8,180,127
2023-08-01,Stanley,364,6,1518,198,11,79,168
2023-08-01,Sully,175,4,811,118,3,32,50
2023-08-01,Todd,2854,8,695,578,7,519,520
2023-08-01,Tripp,651,9,2356,371,9,192,337
2023-08-01,Turner,1203,13,3483,916,15,297,112
2023-08-01,Union,2454,42,6216,2282,18,1388,1705
2023-08-01,Walworth,633,9,2468,348,8,183,314
2023-08-01,Yankton,3610,61,7189,2571,18,1220,1305
2023-08-01,Ziebach,789,7,424,187,3,211,57
