county,libertarian,republican,democratic,npa_ind,other,inactive
Aurora,1,813,692,273,2,106
Beadle,15,4311,3130,2200,39,487
Bennett,2,682,768,338,1,195
Bon Homme,7,2072,1141,613,2,269
Brookings,70,7839,5140,5396,42,1247
Brown,62,10479,7929,4351,46,2778
Brule,8,1468,1108,569,6,201
Buffalo,1,160,582,137,1,100
Butte,34,3845,896,1258,16,1263
Campbell,,890,124,84,,89
Charles Mix,4,2320,2109,827,2,477
Clark,2,1392,668,351,8,170
Clay,33,2417,2841,2141,15,781
Codington,31,8274,4556,3726,33,1317
Corson,8,645,1144,472,7,212
Custer,24,3905,1102,1473,32,1051
Davison,23,5527,3123,2554,34,1322
Day,7,1554,1620,651,11,216
Deuel,8,1396,791,693,6,158
Dewey,4,711,1989,579,8,210
Douglas,1,1581,296,212,,59
Edmunds,6,1479,727,377,6,171
Fall River,25,2981,893,1179,39,667
Faulk,,1037,252,229,1,69
Grant,9,2316,1326,949,11,318
Gregory,5,1585,873,364,2,83
Haakon,3,1040,161,135,2,67
Hamlin,3,2546,667,544,2,237
Hand,2,1439,566,246,2,171
Hanson,2,1644,775,756,8,651
Harding,3,770,98,88,,61
Hughes,41,7029,2381,1945,24,532
Hutchinson,3,3296,965,759,9,31
Hyde,,658,185,104,3,16
Jackson,6,834,640,312,11,110
Jerauld,6,619,424,177,2,66
Jones,1,505,90,94,,29
Kingsbury,8,2008,884,591,2,228
Lake,25,4196,2478,1976,9,1436
Lawrence,98,9167,3639,4105,36,2483
Lincoln,122,18765,9045,9840,64,4162
Lyman,5,1107,773,285,1,71
Marshall,8,1086,1113,517,4,243
McCook,11,1854,1008,725,6,192
McPherson,8,1228,241,229,1,169
Meade,92,10164,3012,3910,41,850
Mellette,3,484,471,171,1,48
Miner,2,633,567,322,2,89
Minnehaha,486,47675,35455,32992,301,18270
Moody,7,1524,1532,961,4,403
Oglala Lakota,13,491,5240,1836,55,936
Pennington,432,36472,16826,20984,260,9037
Perkins,6,1408,357,336,8,141
Potter,1,1283,256,147,3,161
Roberts,10,1996,2886,1299,23,278
Sanborn,3,838,438,227,4,90
Spink,5,2151,1288,622,4,159
Stanley,2,1360,413,268,4,187
Sully,2,731,199,125,3,76
Todd,4,662,2861,925,11,922
Tripp,6,2178,826,550,7,417
Turner,11,3092,1366,1134,13,203
Union,26,5572,2707,3359,16,1628
Walworth,7,2454,784,506,8,282
Yankton,55,6314,3957,3523,19,1455
Ziebach,5,386,855,309,4,125
