date,county,democratic,libertarian,republican,independent,other,npa,inactive
2025-11-03,Aurora,491,2,995,228,3,96,73
2025-11-03,Beadle,2421,31,5212,1359,45,1212,505
2025-11-03,Bennett,654,8,728,192,3,199,125
2025-11-03,Bon Homme,851,10,2418,493,,237,197
2025-11-03,Brookings,5098,107,10203,3664,22,2896,922
2025-11-03,Brown,6348,89,12266,3196,10,1768,2711
2025-11-03,Brule,847,12,1732,445,4,220,184
2025-11-03,Buffalo,532,2,152,79,4,101,55
2025-11-03,Butte,747,55,4659,879,22,673,895
2025-11-03,Campbell,95,1,890,69,,48,77
2025-11-03,Charles Mix,1760,9,2745,592,1,372,291
2025-11-03,Clark,500,4,1663,256,,176,131
2025-11-03,Clay,2751,36,2983,1384,19,1068,1043
2025-11-03,Codington,3711,60,10591,2558,23,2112,1402
2025-11-03,Corson,919,5,746,271,3,298,205
2025-11-03,Custer,1027,40,5226,1137,24,703,567
2025-11-03,Davison,2722,32,6965,1918,34,1539,619
2025-11-03,Day,1215,11,1958,572,1,181,120
2025-11-03,Deuel,568,8,1790,477,1,313,70
2025-11-03,Dewey,1770,4,781,428,3,438,163
2025-11-03,Douglas,200,1,1673,138,,105,43
2025-11-03,Edmunds,497,7,1818,252,2,184,61
2025-11-03,Fall River,875,38,4034,903,3,736,338
2025-11-03,Faulk,174,,1085,210,,44,88
2025-11-03,Grant,1000,20,2725,696,10,393,226
2025-11-03,Gregory,593,4,1872,345,,93,114
2025-11-03,Haakon,103,2,1152,77,5,38,51
2025-11-03,Hamlin,519,7,3050,365,1,292,210
2025-11-03,Hand,360,9,1639,186,4,49,57
2025-11-03,Hanson,506,4,1763,442,7,349,479
2025-11-03,Harding,60,5,829,72,1,47,23
2025-11-03,Hughes,2137,52,7403,1423,19,1020,565
2025-11-03,Hutchinson,687,15,3409,514,8,344,158
2025-11-03,Hyde,148,1,660,97,,35,16
2025-11-03,Jackson,578,6,920,171,1,175,77
2025-11-03,Jerauld,315,6,745,134,1,83,33
2025-11-03,Jones,62,1,510,56,1,29,52
2025-11-03,Kingsbury,623,8,2296,388,3,335,173
2025-11-03,Lake,1849,24,4378,957,7,631,1307
2025-11-03,Lawrence,3923,179,12449,3355,51,2949,1405
2025-11-03,Lincoln,10031,220,26042,7815,98,5447,3647
2025-11-03,Lyman,635,4,1165,216,1,177,57
2025-11-03,Marshall,919,2,1323,380,2,183,89
2025-11-03,McCook,769,9,2376,507,5,269,144
2025-11-03,McPherson,174,8,1283,117,1,73,67
2025-11-03,Meade,2731,148,13048,2854,29,2173,976
2025-11-03,Mellette,404,,502,196,,72,61
2025-11-03,Miner,405,5,850,219,1,107,66
2025-11-03,Minnehaha,35622,724,59555,22570,240,19154,10706
2025-11-03,Moody,1278,17,2016,698,6,445,53
2025-11-03,Oglala Lakota,5247,18,606,972,1,1260,451
2025-11-03,Pennington,17828,672,47183,13290,241,12267,6609
2025-11-03,Perkins,240,4,1550,179,4,153,169
2025-11-03,Potter,180,1,1355,112,5,49,94
2025-11-03,Roberts,2280,8,2277,921,15,648,399
2025-11-03,Sanborn,345,7,997,158,1,119,66
2025-11-03,Spink,946,8,2559,455,3,249,125
2025-11-03,Stanley,328,8,1594,202,,130,122
2025-11-03,Sully,155,4,841,108,,43,60
2025-11-03,Todd,2658,7,660,585,5,571,541
2025-11-03,Tripp,542,5,2447,335,6,221,251
2025-11-03,Turner,1092,15,3657,884,2,385,195
2025-11-03,Union,2244,45,6651,2182,11,1493,1232
2025-11-03,Walworth,562,11,2468,334,11,300,268
2025-11-03,Yankton,3322,58,7476,2463,21,1326,1144
2025-11-03,Ziebach,725,5,431,175,1,259,49
