date,county,republican,libertarian,democratic,constitution,npa_ind,other,inactive
2017-08-01,Aurora,802,1,799,,258,3,56
2017-08-01,Beadle,4439,20,3530,6,2153,42,554
2017-08-01,Bennett,682,1,878,,333,2,124
2017-08-01,Bon Homme,1969,12,1373,2,652,1,188
2017-08-01,Brookings,7558,79,5380,23,5291,21,1316
2017-08-01,Brown,10095,67,8759,8,4316,36,1658
2017-08-01,Brule,1467,11,1307,5,569,2,33
2017-08-01,Buffalo,167,1,662,,111,2,36
2017-08-01,Butte,4062,35,1139,8,1423,5,300
2017-08-01,Campbell,913,,135,,97,,72
2017-08-01,Charles Mix,2284,4,2421,2,839,,399
2017-08-01,Clark,1398,2,778,3,386,3,103
2017-08-01,Clay,2515,35,3065,3,2190,7,362
2017-08-01,Codington,7781,30,5222,14,3919,31,890
2017-08-01,Corson,663,7,1247,2,419,7,178
2017-08-01,Custer,3740,16,1193,10,1431,20,563
2017-08-01,Davison,5471,21,3586,3,2484,24,539
2017-08-01,Day,1532,9,1925,2,671,11,117
2017-08-01,Deuel,1287,8,888,7,718,1,207
2017-08-01,Dewey,713,3,2077,1,568,4,148
2017-08-01,Douglas,1567,2,335,,198,,118
2017-08-01,Edmunds,1507,8,846,,430,7,93
2017-08-01,Fall River,2885,16,1007,1,1201,27,394
2017-08-01,Faulk,856,1,416,1,312,,62
2017-08-01,Grant,2339,10,1529,2,983,12,340
2017-08-01,Gregory,1509,5,959,2,315,,73
2017-08-01,Haakon,1054,1,197,,132,,25
2017-08-01,Hamlin,2429,1,798,3,607,2,191
2017-08-01,Hand,1466,4,678,1,275,1,74
2017-08-01,Hanson,1586,3,814,2,680,2,517
2017-08-01,Harding,775,2,105,,80,,40
2017-08-01,Hughes,6893,34,2404,5,1845,15,569
2017-08-01,Hutchinson,3193,4,1054,6,632,4,190
2017-08-01,Hyde,664,2,227,,104,3,41
2017-08-01,Jackson,866,4,708,1,300,18,75
2017-08-01,Jerauld,594,1,477,2,183,,48
2017-08-01,Jones,516,1,95,,82,,21
2017-08-01,Kingsbury,1820,5,1029,1,615,2,116
2017-08-01,Lake,4754,37,3161,5,2419,6,257
2017-08-01,Lawrence,9097,93,3981,11,3975,20,1031
2017-08-01,Lincoln,17667,86,8938,30,9007,27,2372
2017-08-01,Lyman,1121,4,860,1,278,2,96
2017-08-01,Marshall,1071,9,1230,,494,1,150
2017-08-01,McCook,1808,15,1134,6,681,,155
2017-08-01,McPherson,1313,2,292,,235,,20
2017-08-01,Meade,9596,81,3189,33,3677,5,1039
2017-08-01,Mellette,495,1,510,1,142,,79
2017-08-01,Miner,582,2,649,1,279,1,54
2017-08-01,Minnehaha,47365,403,38248,134,30626,162,7161
2017-08-01,Moody,1519,7,1683,3,935,3,190
2017-08-01,Oglala Lakota,559,11,5677,2,1793,59,549
2017-08-01,Pennington,35017,356,17330,86,19134,144,3001
2017-08-01,Perkins,1402,6,435,3,339,4,109
2017-08-01,Potter,1365,1,306,2,170,2,8
2017-08-01,Roberts,1883,8,3288,4,1286,18,442
2017-08-01,Sanborn,835,3,519,1,224,3,45
2017-08-01,Spink,2021,5,1532,1,679,5,179
2017-08-01,Stanley,1365,4,495,2,288,,16
2017-08-01,Sully,746,,230,,112,1,48
2017-08-01,Todd,722,6,3152,3,854,9,404
2017-08-01,Tripp,2233,3,991,7,531,1,158
2017-08-01,Turner,3034,8,1477,3,1064,10,249
2017-08-01,Union,5293,26,2847,8,3041,14,1042
2017-08-01,Walworth,2440,6,803,5,468,1,240
2017-08-01,Yankton,6057,49,4379,8,3320,16,601
2017-08-01,Ziebach,402,3,879,,287,5,94
