date,county,republican,libertarian,democratic,npa_ind,other,inactive
2022-07-01,Aurora,903,1,603,284,2,101
2022-07-01,Beadle,4683,23,2806,2312,38,649
2022-07-01,Bennett,718,3,723,363,2,194
2022-07-01,Bon Homme,2213,10,981,659,2,310
2022-07-01,Brookings,8769,88,5117,5843,34,1495
2022-07-01,Brown,11647,93,7633,4894,48,1900
2022-07-01,Brule,1629,11,992,593,5,124
2022-07-01,Buffalo,168,1,591,160,3,76
2022-07-01,Butte,4196,50,844,1352,15,1345
2022-07-01,Campbell,915,,104,94,,98
2022-07-01,Charles Mix,2561,8,1949,836,5,416
2022-07-01,Clark,1538,4,601,369,14,178
2022-07-01,Clay,2777,39,2927,2343,19,759
2022-07-01,Codington,9292,53,4161,3881,30,1618
2022-07-01,Corson,711,5,1060,503,3,231
2022-07-01,Custer,4560,31,1122,1593,32,1144
2022-07-01,Davison,6125,27,2916,2705,35,1282
2022-07-01,Day,1763,10,1428,697,16,161
2022-07-01,Deuel,1593,10,686,683,7,185
2022-07-01,Dewey,735,3,1896,649,7,247
2022-07-01,Douglas,1658,,243,196,,67
2022-07-01,Edmunds,1672,6,589,384,3,191
2022-07-01,Fall River,3532,34,897,1338,34,608
2022-07-01,Faulk,1073,,213,231,2,57
2022-07-01,Grant,2535,14,1185,979,11,385
2022-07-01,Gregory,1689,3,709,372,,178
2022-07-01,Haakon,1110,3,136,125,1,63
2022-07-01,Hamlin,2819,6,624,585,1,162
2022-07-01,Hand,1555,7,454,224,4,125
2022-07-01,Hanson,1749,5,675,778,12,546
2022-07-01,Harding,804,5,75,87,,60
2022-07-01,Hughes,7157,54,2233,2084,22,879
2022-07-01,Hutchinson,3301,8,793,735,7,205
2022-07-01,Hyde,661,,169,112,3,28
2022-07-01,Jackson,852,9,635,317,9,78
2022-07-01,Jerauld,644,6,381,184,2,67
2022-07-01,Jones,512,1,73,78,1,44
2022-07-01,Kingsbury,2190,6,779,599,3,315
2022-07-01,Lake,4058,28,2128,1640,8,1874
2022-07-01,Lawrence,10679,148,3697,4713,43,2218
2022-07-01,Lincoln,21891,203,9661,11032,65,4690
2022-07-01,Lyman,1134,7,739,325,1,66
2022-07-01,Marshall,1198,6,1041,528,4,226
2022-07-01,McCook,2168,13,861,737,6,137
2022-07-01,McPherson,1283,8,222,213,2,207
2022-07-01,Meade,11827,138,3050,4512,36,834
2022-07-01,Mellette,501,3,423,194,1,77
2022-07-01,Miner,725,4,486,306,4,86
2022-07-01,Minnehaha,53538,656,36488,36721,319,17315
2022-07-01,Moody,1705,12,1383,1000,4,359
2022-07-01,Oglala Lakota,528,18,5345,1962,47,841
2022-07-01,Pennington,42445,609,17567,23074,272,9944
2022-07-01,Perkins,1473,5,292,321,6,199
2022-07-01,Potter,1324,3,221,157,5,141
2022-07-01,Roberts,2104,13,2680,1367,22,416
2022-07-01,Sanborn,916,5,377,252,4,101
2022-07-01,Spink,2382,9,1130,600,8,218
2022-07-01,Stanley,1450,3,365,271,11,220
2022-07-01,Sully,787,4,186,133,3,63
2022-07-01,Todd,683,5,2841,972,8,865
2022-07-01,Tripp,2308,8,678,549,9,440
2022-07-01,Turner,3339,10,1233,1163,17,206
2022-07-01,Union,5925,34,2499,3580,13,2116
2022-07-01,Walworth,2385,10,650,462,8,540
2022-07-01,Yankton,7009,64,3637,3687,14,1602
2022-07-01,Ziebach,408,7,797,374,3,117
