date,county,republican,democratic,libertarian,other
1993-08-03,Aurora,823,1255,,87
1993-08-03,Beadle,4257,5710,6,1122
1993-08-03,Bennett,685,913,,91
1993-08-03,Bon Homme,2173,1925,1,206
1993-08-03,Brookings,7004,5151,12,2428
1993-08-03,Brown,8679,10502,7,1893
1993-08-03,Brule,1176,1895,,192
1993-08-03,Buffalo,218,747,,38
1993-08-03,Butte,2916,1165,11,277
1993-08-03,Campbell,1237,208,,27
1993-08-03,Charles Mix,2001,3453,2,302
1993-08-03,Clark,1578,1082,,138
1993-08-03,Clay,2781,3247,4,1043
1993-08-03,Codington,5376,5955,8,1743
1993-08-03,Corson,848,998,,123
1993-08-03,Custer,2261,1245,9,571
1993-08-03,Davison,4165,4494,4,988
1993-08-03,Day,1911,2637,,293
1993-08-03,Deuel,1313,1301,,301
1993-08-03,Dewey,967,1690,,197
1993-08-03,Douglas,1802,533,,74
1993-08-03,Edmunds,1406,1323,,165
1993-08-03,Fall River,2568,1776,,543
1993-08-03,Faulk,957,797,,54
1993-08-03,Grant,2454,2264,,497
1993-08-03,Gregory,1550,1597,,132
1993-08-03,Haakon,1058,431,,52
1993-08-03,Hamlin,1868,1186,3,235
1993-08-03,Hand,1525,1268,,162
1993-08-03,Hanson,753,967,,359
1993-08-03,Harding,715,264,1,46
1993-08-03,Hughes,5814,2868,2,865
1993-08-03,Hutchinson,3779,1287,1,155
1993-08-03,Hyde,611,509,,74
1993-08-03,Jackson,982,630,2,105
1993-08-03,Jerauld,888,748,2,100
1993-08-03,Jones,657,260,1,35
1993-08-03,Kingsbury,2257,1319,,242
1993-08-03,Lake,3419,3047,1,467
1993-08-03,Lawrence,6595,4108,34,1307
1993-08-03,Lincoln,4854,3727,1,948
1993-08-03,Lyman,1177,758,2,70
1993-08-03,Marshall,1175,1589,1,115
1993-08-03,McCook,1810,1681,2,313
1993-08-03,McPherson,1711,423,,74
1993-08-03,Meade,6918,4097,16,1460
1993-08-03,Mellette,612,556,,57
1993-08-03,Miner,692,1067,,146
1993-08-03,Minnehaha,34511,33964,83,7063
1993-08-03,Moody,1456,1958,,368
1993-08-03,Pennington,27620,18209,139,7053
1993-08-03,Perkins,1583,1024,2,166
1993-08-03,Potter,1482,616,,76
1993-08-03,Roberts,1947,3226,,490
1993-08-03,Sanborn,1054,858,1,107
1993-08-03,Shannon,514,2697,,541
1993-08-03,Spink,2104,2542,3,444
1993-08-03,Stanley,970,738,,164
1993-08-03,Sully,656,478,,45
1993-08-03,Todd,726,2285,,387
1993-08-03,Tripp,2433,1730,,268
1993-08-03,Turner,3181,1732,,352
1993-08-03,Union,2420,3117,,756
1993-08-03,Walworth,2406,1102,1,245
1993-08-03,Yankton,5497,5216,5,1203
1993-08-03,Ziebach,450,584,,97
