date,county,republican,libertarian,democratic,constitution,npa_ind,other,inactive
2018-01-02,Aurora,789,1,770,,257,3,94
2018-01-02,Beadle,4253,18,3390,5,2101,39,952
2018-01-02,Bennett,657,1,814,,313,2,213
2018-01-02,Bon Homme,1893,11,1312,2,620,1,319
2018-01-02,Brookings,7342,70,5113,21,5078,23,1786
2018-01-02,Brown,9813,64,8333,7,4186,42,2499
2018-01-02,Brule,1408,10,1217,5,527,2,236
2018-01-02,Buffalo,165,1,624,,105,2,82
2018-01-02,Butte,3740,31,979,7,1252,5,995
2018-01-02,Campbell,870,,122,,87,,132
2018-01-02,Charles Mix,2274,3,2372,2,840,,444
2018-01-02,Clark,1341,2,742,3,365,2,207
2018-01-02,Clay,2357,32,2834,3,2069,7,948
2018-01-02,Codington,7466,26,4936,13,3724,26,1805
2018-01-02,Corson,643,7,1182,2,416,6,266
2018-01-02,Custer,3659,19,1142,7,1390,20,804
2018-01-02,Davison,5206,18,3313,3,2348,28,1209
2018-01-02,Day,1472,9,1812,2,651,12,294
2018-01-02,Deuel,1254,8,852,7,684,1,301
2018-01-02,Dewey,707,3,2018,1,554,5,207
2018-01-02,Douglas,1532,2,325,,193,,163
2018-01-02,Edmunds,1456,8,806,,404,5,197
2018-01-02,Fall River,2800,16,950,2,1169,20,617
2018-01-02,Faulk,846,,401,1,305,,96
2018-01-02,Grant,2239,8,1455,2,918,12,568
2018-01-02,Gregory,1477,4,925,2,312,,136
2018-01-02,Haakon,1037,1,190,1,135,,39
2018-01-02,Hamlin,2361,2,756,1,566,2,281
2018-01-02,Hand,1425,4,652,1,268,1,130
2018-01-02,Hanson,1565,3,792,3,665,2,570
2018-01-02,Harding,748,,104,,80,,70
2018-01-02,Hughes,6759,33,2299,4,1823,13,850
2018-01-02,Hutchinson,3187,4,1042,7,653,4,186
2018-01-02,Hyde,629,,218,,102,3,96
2018-01-02,Jackson,841,4,688,1,306,18,59
2018-01-02,Jerauld,613,1,475,2,186,,44
2018-01-02,Jones,504,1,88,,81,,38
2018-01-02,Kingsbury,1778,7,981,1,594,1,224
2018-01-02,Lake,4515,33,2916,2,2280,4,1077
2018-01-02,Lawrence,8685,90,3626,11,3767,18,2180
2018-01-02,Lincoln,17084,91,8543,27,8735,26,3153
2018-01-02,Lyman,1101,4,827,1,263,2,152
2018-01-02,Marshall,1055,9,1199,,484,1,220
2018-01-02,McCook,1755,15,1087,7,674,,248
2018-01-02,McPherson,1242,2,275,,218,1,127
2018-01-02,Meade,9373,78,3049,32,3647,5,1607
2018-01-02,Mellette,477,1,474,1,135,,134
2018-01-02,Miner,575,2,630,1,271,1,79
2018-01-02,Minnehaha,46455,409,37096,135,30709,158,10859
2018-01-02,Moody,1464,7,1610,4,913,3,334
2018-01-02,Oglala Lakota,526,11,5381,2,1743,50,915
2018-01-02,Pennington,33146,351,15905,87,18180,132,8187
2018-01-02,Perkins,1379,6,418,3,328,5,172
2018-01-02,Potter,1282,1,290,2,150,2,110
2018-01-02,Roberts,1824,7,3132,4,1267,18,677
2018-01-02,Sanborn,819,3,494,1,220,3,84
2018-01-02,Spink,1972,5,1463,1,656,5,322
2018-01-02,Stanley,1299,3,455,2,278,,137
2018-01-02,Sully,736,,226,,114,1,55
2018-01-02,Todd,671,5,2922,3,824,6,751
2018-01-02,Tripp,2164,2,928,7,513,1,318
2018-01-02,Turner,2997,8,1447,2,1064,9,347
2018-01-02,Union,5162,23,2688,9,3010,12,1444
2018-01-02,Walworth,2438,6,807,5,471,1,251
2018-01-02,Yankton,5814,51,4163,4,3196,14,1221
2018-01-02,Ziebach,395,4,851,,277,4,131
