date,county,libertarian,republican,democratic,npa_ind,constitution,other,inactive
2018-10-02,Aurora,1,794,743,266,,3,89
2018-10-02,Beadle,18,4298,3285,2138,6,42,1046
2018-10-02,Bennett,2,686,810,326,,2,201
2018-10-02,Bon Homme,11,2053,1236,612,2,,303
2018-10-02,Brookings,72,7622,5152,5255,26,22,1713
2018-10-02,Brown,61,10312,8171,4253,7,40,2391
2018-10-02,Brule,10,1448,1199,563,5,2,229
2018-10-02,Buffalo,1,166,613,119,,1,79
2018-10-02,Butte,30,3850,969,1296,9,4,966
2018-10-02,Campbell,,902,120,85,,,121
2018-10-02,Charles Mix,3,2318,2337,870,2,,427
2018-10-02,Clark,3,1374,721,370,3,2,198
2018-10-02,Clay,37,2421,2870,2152,3,10,904
2018-10-02,Codington,29,8106,4705,3675,13,24,1712
2018-10-02,Corson,7,642,1181,446,2,7,247
2018-10-02,Custer,22,3856,1141,1418,10,20,813
2018-10-02,Davison,21,5373,3270,2475,4,28,1175
2018-10-02,Day,11,1525,1760,660,2,12,276
2018-10-02,Deuel,9,1337,813,684,7,,280
2018-10-02,Dewey,4,719,1998,562,1,6,199
2018-10-02,Douglas,2,1565,312,198,,,146
2018-10-02,Edmunds,8,1484,784,403,,4,186
2018-10-02,Fall River,23,2942,943,1194,4,23,607
2018-10-02,Faulk,,1037,279,245,1,,90
2018-10-02,Grant,9,2291,1416,939,2,11,547
2018-10-02,Gregory,5,1539,918,325,2,,127
2018-10-02,Haakon,1,1048,180,134,1,1,38
2018-10-02,Hamlin,2,2535,725,559,,2,260
2018-10-02,Hand,3,1455,625,252,1,1,124
2018-10-02,Hanson,3,1606,801,729,3,2,558
2018-10-02,Harding,2,767,102,82,,,67
2018-10-02,Hughes,40,6932,2332,1852,4,16,819
2018-10-02,Hutchinson,3,3258,1025,703,7,3,171
2018-10-02,Hyde,,653,208,100,,3,89
2018-10-02,Jackson,4,822,634,295,1,13,151
2018-10-02,Jerauld,3,631,462,186,1,,43
2018-10-02,Jones,1,510,90,82,,,35
2018-10-02,Kingsbury,10,1936,914,580,2,1,209
2018-10-02,Lake,35,4610,2793,2325,3,6,1055
2018-10-02,Lawrence,97,8950,3638,3920,11,17,2111
2018-10-02,Lincoln,108,18078,8757,9280,35,28,3013
2018-10-02,Lyman,5,1117,812,274,,1,146
2018-10-02,Marshall,8,1080,1190,497,,1,206
2018-10-02,McCook,12,1806,1051,727,6,,259
2018-10-02,McPherson,8,1256,267,224,,1,118
2018-10-02,Meade,84,9847,3007,3799,30,9,1561
2018-10-02,Mellette,1,483,475,150,1,,134
2018-10-02,Miner,2,609,616,290,2,1,71
2018-10-02,Minnehaha,434,46187,35701,31045,141,160,14893
2018-10-02,Moody,6,1502,1563,944,4,4,360
2018-10-02,Oglala Lakota,11,526,5383,1837,2,49,883
2018-10-02,Pennington,376,34961,16188,19346,95,148,7826
2018-10-02,Perkins,6,1385,398,342,3,5,164
2018-10-02,Potter,1,1316,284,149,2,2,105
2018-10-02,Roberts,9,1947,3051,1278,4,17,640
2018-10-02,Sanborn,3,832,478,226,1,2,79
2018-10-02,Spink,5,2138,1344,628,,4,333
2018-10-02,Stanley,2,1349,444,278,2,,133
2018-10-02,Sully,,758,212,116,,1,51
2018-10-02,Todd,6,681,2927,900,3,6,728
2018-10-02,Tripp,2,2216,912,542,8,1,306
2018-10-02,Turner,8,3058,1411,1098,2,11,313
2018-10-02,Union,24,5437,2698,3165,11,12,1404
2018-10-02,Walworth,7,2429,765,477,4,3,310
2018-10-02,Yankton,52,6163,4062,3312,6,14,1174
2018-10-02,Ziebach,4,399,847,287,,3,141
