date,county,democratic,republican,npa_ind_oth,inactive
2016-02-01,Aurora,815,753,235,109
2016-02-01,Beadle,3586,4271,1986,1172
2016-02-01,Bennett,888,648,269,231
2016-02-01,Bon Homme,1390,1822,575,242
2016-02-01,Brookings,5246,7028,4696,2847
2016-02-01,Brown,9003,9523,3890,2402
2016-02-01,Brule,1330,1385,527,221
2016-02-01,Buffalo,654,160,99,50
2016-02-01,Butte,1154,3899,1359,534
2016-02-01,Campbell,150,866,92,117
2016-02-01,Charles Mix,2469,2126,702,494
2016-02-01,Clark,794,1354,328,196
2016-02-01,Clay,2917,2333,1935,1281
2016-02-01,Codington,5302,7069,3532,1822
2016-02-01,Corson,1282,664,390,208
2016-02-01,Custer,1184,3409,1324,623
2016-02-01,Davison,3606,5156,2219,1261
2016-02-01,Day,2003,1449,627,193
2016-02-01,Deuel,933,1169,673,239
2016-02-01,Dewey,2075,681,505,177
2016-02-01,Douglas,345,1549,175,166
2016-02-01,Edmunds,923,1398,437,193
2016-02-01,Fall River,1003,2669,1094,680
2016-02-01,Faulk,432,800,270,111
2016-02-01,Grant,1568,2204,910,534
2016-02-01,Gregory,1015,1433,292,172
2016-02-01,Haakon,225,993,108,52
2016-02-01,Hamlin,837,2307,577,248
2016-02-01,Hand,708,1418,260,175
2016-02-01,Hanson,908,1616,736,468
2016-02-01,Harding,114,743,71,72
2016-02-01,Hughes,2321,6609,1612,1065
2016-02-01,Hutchinson,1068,3043,539,297
2016-02-01,Hyde,230,653,96,50
2016-02-01,Jackson,683,834,257,86
2016-02-01,Jerauld,494,579,166,85
2016-02-01,Jones,109,514,66,39
2016-02-01,Kingsbury,1077,1738,534,235
2016-02-01,Lake,3066,4251,1969,606
2016-02-01,Lawrence,3906,8433,3511,2206
2016-02-01,Lincoln,8333,16023,7489,2753
2016-02-01,Lyman,892,1089,260,174
2016-02-01,Marshall,1256,1015,435,282
2016-02-01,McCook,1172,1723,607,276
2016-02-01,McPherson,293,1242,248,89
2016-02-01,Meade,3151,8745,3194,2034
2016-02-01,Mellette,511,486,129,91
2016-02-01,Miner,689,568,265,131
2016-02-01,Minnehaha,37300,44736,26332,12729
2016-02-01,Moody,1684,1419,872,334
2016-02-01,Oglala Lakota,5671,575,1616,624
2016-02-01,Pennington,16663,32814,16934,6974
2016-02-01,Perkins,476,1320,308,180
2016-02-01,Potter,346,1310,161,60
2016-02-01,Roberts,3320,1795,1191,563
2016-02-01,Sanborn,544,783,191,85
2016-02-01,Spink,1567,1940,612,303
2016-02-01,Stanley,500,1302,260,15
2016-02-01,Sully,242,729,108,28
2016-02-01,Todd,3163,691,769,785
2016-02-01,Tripp,1026,2114,499,315
2016-02-01,Turner,1503,2926,936,443
2016-02-01,Union,2862,4894,2739,1447
2016-02-01,Walworth,837,2332,447,371
2016-02-01,Yankton,4375,5707,2925,1467
2016-02-01,Ziebach,873,387,261,137
