date,county,republican,democratic,libertarian,other,inactive
1998-05-18,Aurora,854,1144,1,104,65
1998-05-18,Beadle,4431,5446,21,1360,1268
1998-05-18,Bennett,709,936,0,182,160
1998-05-18,Bon Homme,2255,1862,6,257,384
1998-05-18,Brookings,7562,5431,65,2859,2165
1998-05-18,Brown,8947,10100,17,2254,2335
1998-05-18,Brule,1256,1810,3,249,281
1998-05-18,Buffalo,187,673,0,58,53
1998-05-18,Butte,3449,1388,30,523,109
1998-05-18,Campbell,1142,209,4,31,104
1998-05-18,Charles Mix,2098,3210,1,403,509
1998-05-18,Clark,1636,1044,0,186,189
1998-05-18,Clay,3337,3569,15,1460,1109
1998-05-18,Codington,6312,6390,23,2078,1260
1998-05-18,Corson,802,1142,31,223,282
1998-05-18,Custer,2777,1197,16,652,236
1998-05-18,Davison,4620,4595,14,1152,1114
1998-05-18,Day,1764,2454,0,327,394
1998-05-18,Deuel,1292,1244,4,380,207
1998-05-18,Dewey,944,1979,4,297,357
1998-05-18,Douglas,1729,496,0,77,194
1998-05-18,Edmunds,1399,1466,0,158,194
1998-05-18,Fall River,2611,1541,12,673,513
1998-05-18,Faulk,903,728,2,82,98
1998-05-18,Grant,2396,2038,0,630,635
1998-05-18,Gregory,1764,1548,2,219,65
1998-05-18,Haakon,1141,404,1,60,89
1998-05-18,Hamlin,2028,1245,2,306,221
1998-05-18,Hand,1497,1169,1,200,214
1998-05-18,Hanson,749,866,1,400,133
1998-05-18,Harding,748,205,0,40,65
1998-05-18,Hughes,6973,2932,11,985,320
1998-05-18,Hutchinson,3825,1297,5,211,381
1998-05-18,Hyde,702,473,1,76,41
1998-05-18,Jackson,904,614,1,122,143
1998-05-18,Jerauld,873,717,1,99,20
1998-05-18,Jones,630,204,1,31,22
1998-05-18,Kingsbury,2355,1335,3,296,182
1998-05-18,Lake,3640,2872,3,566,607
1998-05-18,Lawrence,7487,4069,59,1673,1374
1998-05-18,Lincoln,6256,4064,4,1382,954
1998-05-18,Lyman,1229,890,0,116,83
1998-05-18,Marshall,1213,1540,2,163,223
1998-05-18,McCook,1808,1545,2,339,236
1998-05-18,McPherson,1620,429,0,149,121
1998-05-18,Meade,7348,3802,27,1920,2361
1998-05-18,Mellette,590,540,1,86,38
1998-05-18,Miner,704,1033,0,194,106
1998-05-18,Minnehaha,37685,33560,164,9320,8460
1998-05-18,Moody,1492,1835,1,420,279
1998-05-18,Pennington,26915,16137,255,7870,7062
1998-05-18,Perkins,1437,855,4,194,170
1998-05-18,Potter,1490,586,1,110,140
1998-05-18,Roberts,1831,3377,0,647,386
1998-05-18,Sanborn,984,835,2,85,113
1998-05-18,Shannon,523,3494,10,642,826
1998-05-18,Spink,2159,2224,4,426,387
1998-05-18,Stanley,1027,705,0,145,163
1998-05-18,Sully,716,423,4,52,62
1998-05-18,Todd,743,2366,1,608,628
1998-05-18,Tripp,2297,1532,0,271,343
1998-05-18,Turner,3289,1833,3,436,408
1998-05-18,Union,3177,3286,6,1155,635
1998-05-18,Walworth,2646,1165,13,337,326
1998-05-18,Yankton,5571,4977,2,1359,1218
1998-05-18,Ziebach,430,841,4,147,111
