date,county,republican,democratic,libertarian,constitution,other,independent,inactive
2012-06-04,Aurora,760,937,4,,,204,108
2012-06-04,Beadle,4345,4344,23,2,71,1683,1461
2012-06-04,Bennett,652,983,1,,,207,347
2012-06-04,Bon Homme,1837,1566,7,1,,482,263
2012-06-04,Brookings,7367,6227,47,8,20,4384,2593
2012-06-04,Brown,9433,10054,45,3,34,3225,2271
2012-06-04,Brule,1365,1536,4,6,,437,269
2012-06-04,Buffalo,146,618,1,,,57,231
2012-06-04,Butte,3771,1339,27,10,,1085,392
2012-06-04,Campbell,940,180,2,,,83,71
2012-06-04,Charles Mix,2098,2819,1,5,4,600,977
2012-06-04,Clark,1401,914,3,2,2,252,325
2012-06-04,Clay,2505,3548,20,1,9,1853,848
2012-06-04,Codington,7074,6238,25,7,12,2955,1784
2012-06-04,Corson,666,1352,9,1,3,326,351
2012-06-04,Custer,3267,1302,14,7,3,1030,366
2012-06-04,Davison,5251,4202,13,2,15,1875,1005
2012-06-04,Day,1479,2192,3,1,,531,132
2012-06-04,Deuel,1223,1109,3,4,,613,182
2012-06-04,Dewey,658,1950,,,,357,196
2012-06-04,Douglas,1675,417,1,,,143,105
2012-06-04,Edmunds,1393,1075,2,,4,302,140
2012-06-04,Fall River,2762,1233,7,2,16,928,832
2012-06-04,Faulk,831,497,1,,3,250,35
2012-06-04,Grant,2257,1865,2,2,3,889,487
2012-06-04,Gregory,1465,1120,1,,,240,238
2012-06-04,Haakon,1034,256,,,,74,35
2012-06-04,Hamlin,2125,1079,,2,1,510,107
2012-06-04,Hand,1381,895,1,1,1,234,169
2012-06-04,Hanson,1575,1065,1,1,,765,181
2012-06-04,Harding,717,132,,,,65,61
2012-06-04,Hughes,6733,2569,22,2,2,1285,1634
2012-06-04,Hutchinson,3179,1186,4,5,,426,436
2012-06-04,Hyde,704,249,2,,3,68,24
2012-06-04,Jackson,823,669,2,,9,190,147
2012-06-04,Jerauld,638,555,1,,,148,122
2012-06-04,Jones,522,134,2,1,1,65,45
2012-06-04,Kingsbury,1833,1195,4,1,1,446,101
2012-06-04,Lake,3863,3236,17,6,7,1338,329
2012-06-04,Lawrence,8494,4538,63,11,14,2999,2297
2012-06-04,Lincoln,14428,8320,44,20,22,5552,2518
2012-06-04,Lyman,1078,1038,4,1,1,209,243
2012-06-04,Marshall,1099,1482,4,,1,361,96
2012-06-04,McCook,1788,1346,5,5,,542,264
2012-06-04,McPherson,1262,324,1,,1,171,172
2012-06-04,Meade,8579,3691,32,11,,2641,2922
2012-06-04,Mellette,519,535,1,,,115,137
2012-06-04,Miner,571,828,3,1,1,233,110
2012-06-04,Minnehaha,44637,41275,238,112,172,20013,10736
2012-06-04,Moody,1434,1879,8,,,735,708
2012-06-04,Pennington,30951,17647,173,34,113,12717,7500
2012-06-04,Perkins,1291,547,2,5,,249,287
2012-06-04,Potter,1285,390,,1,,104,135
2012-06-04,Roberts,1833,3470,5,5,4,997,734
2012-06-04,Sanborn,818,676,1,,,139,183
2012-06-04,Shannon,563,5695,8,,41,1138,942
2012-06-04,Spink,1988,1771,5,1,1,511,320
2012-06-04,Stanley,1170,547,2,1,,203,210
2012-06-04,Sully,684,280,3,,,81,61
2012-06-04,Todd,765,3417,3,,11,648,867
2012-06-04,Tripp,2127,1238,5,2,,423,299
2012-06-04,Turner,3085,1738,5,5,2,835,362
2012-06-04,Union,4787,3325,11,4,1,2377,1164
2012-06-04,Walworth,2319,992,5,3,,465,383
2012-06-04,Yankton,5925,5102,31,7,13,2515,1464
2012-06-04,Ziebach,392,916,3,,6,234,175
