date,county,libertarian,republican,democratic,npa_ind,other,inactive
2021-08-02,Aurora,2,879,651,287,2,62
2021-08-02,Beadle,21,4591,3051,2363,42,357
2021-08-02,Bennett,3,709,767,375,2,144
2021-08-02,Bon Homme,12,2203,1052,677,2,227
2021-08-02,Brookings,95,8590,5348,5961,41,883
2021-08-02,Brown,87,11236,7905,4835,49,1857
2021-08-02,Brule,6,1618,1056,593,5,38
2021-08-02,Buffalo,1,164,602,154,2,79
2021-08-02,Butte,54,4230,914,1395,13,1154
2021-08-02,Campbell,,919,119,98,,69
2021-08-02,Charles Mix,6,2524,2048,842,5,370
2021-08-02,Clark,4,1484,641,384,14,112
2021-08-02,Clay,36,2687,3025,2395,18,541
2021-08-02,Codington,51,9117,4433,4007,31,1147
2021-08-02,Corson,6,709,1154,520,5,153
2021-08-02,Custer,30,4339,1154,1631,32,903
2021-08-02,Davison,27,6045,3109,2782,31,946
2021-08-02,Day,8,1674,1534,682,14,141
2021-08-02,Deuel,9,1554,753,706,8,119
2021-08-02,Dewey,3,756,2005,677,9,117
2021-08-02,Douglas,1,1648,268,207,,46
2021-08-02,Edmunds,6,1611,663,417,4,116
2021-08-02,Fall River,33,3328,935,1285,37,584
2021-08-02,Faulk,,1053,230,234,2,42
2021-08-02,Grant,11,2513,1273,996,11,283
2021-08-02,Gregory,3,1714,780,382,,85
2021-08-02,Haakon,3,1112,149,133,1,33
2021-08-02,Hamlin,6,2684,649,587,2,134
2021-08-02,Hand,5,1517,519,243,4,92
2021-08-02,Hanson,6,1842,750,841,9,309
2021-08-02,Harding,4,813,86,93,,20
2021-08-02,Hughes,53,7152,2366,2130,24,593
2021-08-02,Hutchinson,7,3283,864,767,10,17
2021-08-02,Hyde,,671,181,114,3,12
2021-08-02,Jackson,8,853,661,319,9,57
2021-08-02,Jerauld,6,642,404,190,2,31
2021-08-02,Jones,1,532,82,86,1,23
2021-08-02,Kingsbury,7,2121,868,625,3,181
2021-08-02,Lake,33,4282,2367,1889,8,1081
2021-08-02,Lawrence,131,10170,3813,4588,43,1629
2021-08-02,Lincoln,185,21192,9817,11031,65,3795
2021-08-02,Lyman,7,1139,769,322,1,32
2021-08-02,Marshall,8,1191,1089,541,4,159
2021-08-02,McCook,14,2021,958,782,8,66
2021-08-02,McPherson,8,1294,241,238,2,147
2021-08-02,Meade,117,11345,3166,4353,40,511
2021-08-02,Mellette,3,510,448,191,1,34
2021-08-02,Miner,4,682,539,332,3,45
2021-08-02,Minnehaha,632,52699,37669,36986,350,13032
2021-08-02,Moody,11,1646,1496,1008,4,248
2021-08-02,Oglala Lakota,18,526,5479,1965,52,779
2021-08-02,Pennington,589,41027,18196,23363,270,6655
2021-08-02,Perkins,5,1476,321,342,6,114
2021-08-02,Potter,2,1315,242,166,4,116
2021-08-02,Roberts,12,2093,2901,1408,25,157
2021-08-02,Sanborn,5,895,415,252,4,64
2021-08-02,Spink,7,2289,1271,645,9,102
2021-08-02,Stanley,3,1425,405,297,11,155
2021-08-02,Sully,3,781,198,137,3,49
2021-08-02,Todd,6,702,2951,968,9,813
2021-08-02,Tripp,8,2307,755,570,11,346
2021-08-02,Turner,12,3289,1314,1191,15,85
2021-08-02,Union,38,6007,2716,3720,18,1402
2021-08-02,Walworth,9,2511,768,525,8,247
2021-08-02,Yankton,68,6712,3937,3821,18,1236
2021-08-02,Ziebach,7,402,843,381,3,80
