date,county,democratic,libertarian,republican,independent,other,npa,inactive
2026-01-02,Aurora,483,2,993,228,3,100,75
2026-01-02,Beadle,2344,30,5170,1322,46,1209,696
2026-01-02,Bennett,655,8,726,192,3,198,126
2026-01-02,Bon Homme,832,10,2403,480,,229,257
2026-01-02,Brookings,4992,100,10105,3596,21,2820,1305
2026-01-02,Brown,6289,88,12251,3166,10,1788,2827
2026-01-02,Brule,840,12,1728,443,4,224,187
2026-01-02,Buffalo,528,2,148,78,4,100,55
2026-01-02,Butte,731,53,4607,857,22,659,1002
2026-01-02,Campbell,94,1,889,69,,49,79
2026-01-02,Charles Mix,1743,9,2742,581,1,371,325
2026-01-02,Clark,484,4,1652,253,,179,155
2026-01-02,Clay,2742,36,2991,1380,19,1065,1085
2026-01-02,Codington,3697,60,10591,2564,22,2155,1422
2026-01-02,Corson,911,4,744,271,3,300,215
2026-01-02,Custer,996,39,5167,1117,24,703,699
2026-01-02,Davison,2696,34,6942,1892,34,1519,743
2026-01-02,Day,1189,11,1956,561,1,183,166
2026-01-02,Deuel,563,8,1809,475,1,313,74
2026-01-02,Dewey,1766,4,781,423,3,441,170
2026-01-02,Douglas,188,1,1652,128,,103,90
2026-01-02,Edmunds,487,6,1787,247,2,182,105
2026-01-02,Fall River,838,35,3949,859,3,710,562
2026-01-02,Faulk,172,,1081,211,,44,90
2026-01-02,Grant,980,19,2693,678,10,390,305
2026-01-02,Gregory,591,4,1874,341,,94,123
2026-01-02,Haakon,104,2,1151,80,4,39,49
2026-01-02,Hamlin,516,7,3047,368,1,293,216
2026-01-02,Hand,361,9,1645,185,3,51,57
2026-01-02,Hanson,499,4,1760,438,7,351,486
2026-01-02,Harding,56,4,827,72,2,44,33
2026-01-02,Hughes,2093,53,7303,1391,18,1035,751
2026-01-02,Hutchinson,687,15,3394,512,8,345,173
2026-01-02,Hyde,140,1,638,95,,33,49
2026-01-02,Jackson,569,6,916,167,1,171,92
2026-01-02,Jerauld,313,6,745,136,1,85,33
2026-01-02,Jones,58,1,500,55,1,28,61
2026-01-02,Kingsbury,605,7,2276,369,3,336,252
2026-01-02,Lake,1801,24,4297,936,6,616,1485
2026-01-02,Lawrence,3811,168,12258,3268,50,2891,1949
2026-01-02,Lincoln,9949,218,25988,7776,95,5441,4087
2026-01-02,Lyman,636,4,1164,216,1,178,57
2026-01-02,Marshall,917,2,1320,379,2,181,90
2026-01-02,McCook,760,9,2377,498,5,268,156
2026-01-02,McPherson,170,8,1275,118,1,75,70
2026-01-02,Meade,2625,141,12853,2799,27,2108,1470
2026-01-02,Mellette,403,,500,198,,73,62
2026-01-02,Miner,402,5,848,216,1,106,72
2026-01-02,Minnehaha,34767,692,58791,22065,228,18704,13565
2026-01-02,Moody,1276,17,2013,700,5,443,52
2026-01-02,Oglala Lakota,5074,18,596,925,1,1235,714
2026-01-02,Pennington,17627,667,46914,13178,237,12120,7592
2026-01-02,Perkins,235,4,1547,180,4,151,176
2026-01-02,Potter,176,1,1359,113,5,51,94
2026-01-02,Roberts,2258,9,2264,909,15,650,444
2026-01-02,Sanborn,345,7,995,157,1,118,73
2026-01-02,Spink,925,8,2538,440,4,241,185
2026-01-02,Stanley,319,8,1567,196,,123,173
2026-01-02,Sully,154,4,838,109,,41,65
2026-01-02,Todd,2594,6,642,571,3,552,667
2026-01-02,Tripp,522,4,2409,327,5,215,318
2026-01-02,Turner,1085,15,3672,879,2,383,210
2026-01-02,Union,2177,46,6594,2135,11,1463,1468
2026-01-02,Walworth,536,11,2435,321,9,288,373
2026-01-02,Yankton,3275,57,7434,2421,21,1299,1336
2026-01-02,Ziebach,704,4,423,170,1,259,85
