date,county,republican,libertarian,democratic,npa_ind,other,inactive
2022-02-01,Aurora,876,2,624,281,2,103
2022-02-01,Beadle,4518,21,2899,2287,39,658
2022-02-01,Bennett,698,3,726,368,2,199
2022-02-01,Bon Homme,2163,11,995,663,3,320
2022-02-01,Brookings,8509,92,5191,5810,35,1515
2022-02-01,Brown,11347,91,7789,4848,51,1921
2022-02-01,Brule,1589,8,1007,577,5,127
2022-02-01,Buffalo,162,1,600,155,2,78
2022-02-01,Butte,4116,50,870,1345,16,1326
2022-02-01,Campbell,900,,110,96,,102
2022-02-01,Charles Mix,2503,7,1985,825,5,427
2022-02-01,Clark,1484,4,616,373,14,181
2022-02-01,Clay,2674,37,2927,2346,18,763
2022-02-01,Codington,9021,54,4254,3917,30,1646
2022-02-01,Corson,705,5,1082,499,4,240
2022-02-01,Custer,4349,33,1127,1605,31,1145
2022-02-01,Davison,5975,26,2980,2699,32,1303
2022-02-01,Day,1708,11,1469,698,17,163
2022-02-01,Deuel,1539,9,715,691,8,190
2022-02-01,Dewey,741,3,1936,647,8,200
2022-02-01,Douglas,1624,,264,206,,70
2022-02-01,Edmunds,1586,6,627,396,3,202
2022-02-01,Fall River,3381,33,918,1319,33,611
2022-02-01,Faulk,1053,,215,234,2,60
2022-02-01,Grant,2489,14,1207,978,11,394
2022-02-01,Gregory,1662,3,730,368,,182
2022-02-01,Haakon,1086,3,143,128,1,63
2022-02-01,Hamlin,2742,7,637,591,1,163
2022-02-01,Hand,1492,6,493,233,4,129
2022-02-01,Hanson,1717,5,700,791,11,557
2022-02-01,Harding,788,4,78,90,,63
2022-02-01,Hughes,7039,52,2277,2074,20,893
2022-02-01,Hutchinson,3196,9,818,731,6,210
2022-02-01,Hyde,651,,175,112,3,28
2022-02-01,Jackson,838,9,642,312,9,80
2022-02-01,Jerauld,626,6,389,183,2,67
2022-02-01,Jones,513,1,80,81,1,36
2022-02-01,Kingsbury,2092,5,807,605,3,322
2022-02-01,Lake,3971,28,2160,1630,8,1886
2022-02-01,Lawrence,10225,139,3693,4609,42,2255
2022-02-01,Lincoln,21136,188,9637,10894,66,4751
2022-02-01,Lyman,1111,7,748,312,1,76
2022-02-01,Marshall,1164,6,1049,529,3,233
2022-02-01,McCook,2015,13,915,755,8,139
2022-02-01,McPherson,1240,8,231,222,2,210
2022-02-01,Meade,11376,127,3093,4455,36,847
2022-02-01,Mellette,500,3,428,186,1,79
2022-02-01,Miner,677,4,506,321,4,88
2022-02-01,Minnehaha,52181,639,36450,36313,324,17489
2022-02-01,Moody,1647,11,1422,994,4,361
2022-02-01,Oglala Lakota,518,18,5365,1962,48,859
2022-02-01,Pennington,40832,610,17604,22954,267,10055
2022-02-01,Perkins,1451,4,302,318,6,200
2022-02-01,Potter,1307,2,230,163,4,148
2022-02-01,Roberts,2035,12,2739,1367,23,423
2022-02-01,Sanborn,894,5,395,253,4,107
2022-02-01,Spink,2255,10,1212,614,7,220
2022-02-01,Stanley,1382,4,389,285,12,230
2022-02-01,Sully,774,4,191,134,3,66
2022-02-01,Todd,675,6,2849,949,9,880
2022-02-01,Tripp,2252,8,708,545,9,456
2022-02-01,Turner,3263,11,1252,1158,17,210
2022-02-01,Union,5754,33,2527,3563,13,2126
2022-02-01,Walworth,2356,8,674,469,7,545
2022-02-01,Yankton,6591,71,3806,3705,15,1628
2022-02-01,Ziebach,391,7,805,373,3,121
