date,county,democratic,libertarian,republican,independent,other,npa,no_labels,inactive
2025-03-03,Aurora,515,2,987,233,2,101,,103
2025-03-03,Beadle,2488,26,5181,1379,40,1168,1,751
2025-03-03,Bennett,688,7,730,207,2,204,,186
2025-03-03,Bon Homme,876,12,2394,485,,232,,284
2025-03-03,Brookings,5102,110,10063,3648,22,2840,1,1573
2025-03-03,Brown,7211,102,12997,3586,11,1986,3,1098
2025-03-03,Brule,893,14,1765,460,4,221,,166
2025-03-03,Buffalo,533,2,154,76,4,100,,116
2025-03-03,Butte,778,56,4628,880,20,651,,1331
2025-03-03,Campbell,104,1,920,75,,44,,72
2025-03-03,Charles Mix,1776,9,2726,586,,353,,439
2025-03-03,Clark,530,4,1655,260,,157,,137
2025-03-03,Clay,2897,38,3068,1452,12,1153,5,1220
2025-03-03,Codington,3848,62,10553,2612,27,1938,,1578
2025-03-03,Corson,970,5,752,284,3,297,,227
2025-03-03,Custer,1051,39,5180,1119,24,685,1,974
2025-03-03,Davison,2769,31,6909,1903,34,1516,4,1252
2025-03-03,Day,1244,12,1923,584,1,168,,220
2025-03-03,Deuel,587,11,1775,483,,289,1,119
2025-03-03,Dewey,1788,4,779,428,2,412,,227
2025-03-03,Douglas,200,1,1666,140,,102,,108
2025-03-03,Edmunds,507,7,1781,255,2,182,,140
2025-03-03,Fall River,889,39,3977,904,2,684,1,391
2025-03-03,Faulk,189,,1126,218,,41,,58
2025-03-03,Grant,1039,18,2749,706,9,368,,333
2025-03-03,Gregory,611,4,1860,343,,86,,151
2025-03-03,Haakon,116,2,1177,85,2,30,2,61
2025-03-03,Hamlin,536,7,3098,380,1,269,,214
2025-03-03,Hand,391,8,1661,187,4,55,,84
2025-03-03,Hanson,591,6,1885,494,7,371,,484
2025-03-03,Harding,62,6,841,76,1,43,,49
2025-03-03,Hughes,2148,47,7381,1418,19,969,,1023
2025-03-03,Hutchinson,710,15,3442,529,8,335,,201
2025-03-03,Hyde,147,1,660,94,,31,,42
2025-03-03,Jackson,581,6,905,166,1,163,,128
2025-03-03,Jerauld,324,6,727,130,1,69,,68
2025-03-03,Jones,62,1,524,58,,27,1,51
2025-03-03,Kingsbury,657,8,2316,389,3,325,,271
2025-03-03,Lake,1904,25,4367,967,5,617,2,2123
2025-03-03,Lawrence,3947,179,12323,3291,42,2734,7,2376
2025-03-03,Lincoln,10175,233,25875,7810,79,5349,13,4910
2025-03-03,Lyman,655,4,1162,218,1,165,,108
2025-03-03,Marshall,953,2,1310,379,2,175,,162
2025-03-03,McCook,797,7,2407,518,3,269,,145
2025-03-03,McPherson,187,8,1334,134,,71,,159
2025-03-03,Meade,2812,155,13033,2861,24,2147,2,1610
2025-03-03,Mellette,412,1,500,191,,69,,67
2025-03-03,Miner,426,5,850,232,,117,,79
2025-03-03,Minnehaha,36180,741,59490,22692,255,18828,17,16930
2025-03-03,Moody,1306,15,1955,704,4,424,2,204
2025-03-03,Oglala Lakota,5291,18,609,995,1,1253,,615
2025-03-03,Pennington,18056,682,46938,13300,224,12197,27,9821
2025-03-03,Perkins,259,4,1562,196,4,159,,178
2025-03-03,Potter,180,2,1353,108,5,41,1,140
2025-03-03,Roberts,2378,9,2269,935,19,626,,470
2025-03-03,Sanborn,353,7,992,166,,123,1,59
2025-03-03,Spink,992,8,2573,453,3,235,,199
2025-03-03,Stanley,333,7,1590,192,,124,,199
2025-03-03,Sully,159,4,839,109,,36,,68
2025-03-03,Todd,2735,7,656,580,5,554,,759
2025-03-03,Tripp,559,6,2457,351,7,230,,366
2025-03-03,Turner,1122,15,3675,902,2,381,,225
2025-03-03,Union,2312,44,6664,2217,9,1495,2,2184
2025-03-03,Walworth,577,9,2479,336,11,263,,463
2025-03-03,Yankton,3473,60,7517,2551,17,1342,1,1546
2025-03-03,Ziebach,740,5,433,174,1,253,,93
