date,county,republican,democratic,libertarian,reform,other,inactive
2002-05-20,Aurora,847,1092,2,0,111,116
2002-05-20,Beadle,4493,5116,33,0,1516,859
2002-05-20,Bennett,710,1284,2,1,180,156
2002-05-20,Bon Homme,2266,1899,5,0,362,123
2002-05-20,Brookings,7490,5532,80,7,3198,2480
2002-05-20,Brown,9166,9958,22,7,2768,2280
2002-05-20,Brule,1260,1743,4,2,287,279
2002-05-20,Buffalo,159,612,1,0,48,145
2002-05-20,Butte,3265,1155,26,1,584,1029
2002-05-20,Campbell,1153,216,2,0,49,49
2002-05-20,Charles Mix,1938,2874,3,0,395,579
2002-05-20,Clark,1524,1108,1,0,195,229
2002-05-20,Clay,3356,3698,24,1,1598,1522
2002-05-20,Codington,6635,6356,23,2,2330,1376
2002-05-20,Corson,785,1144,25,0,251,308
2002-05-20,Custer,2973,1175,18,2,808,586
2002-05-20,Davison,4626,4174,15,1,1289,822
2002-05-20,Day,1577,2151,1,0,360,450
2002-05-20,Deuel,1282,1181,2,1,439,165
2002-05-20,Dewey,962,2177,3,0,426,110
2002-05-20,Douglas,1766,468,0,0,121,88
2002-05-20,Edmunds,1451,1331,3,0,216,258
2002-05-20,Fall River,2614,1366,18,0,767,529
2002-05-20,Faulk,909,662,3,3,191,62
2002-05-20,Grant,2366,1946,1,1,738,371
2002-05-20,Gregory,1644,1453,2,0,238,153
2002-05-20,Haakon,1180,385,0,0,72,0
2002-05-20,Hamlin,2005,1236,3,1,386,79
2002-05-20,Hand,1612,1087,2,0,233,144
2002-05-20,Hanson,904,941,1,0,509,109
2002-05-20,Harding,722,170,0,0,31,120
2002-05-20,Hughes,6867,2602,13,0,968,1316
2002-05-20,Hutchinson,3849,1405,4,0,329,208
2002-05-20,Hyde,714,408,3,2,64,96
2002-05-20,Jackson,874,645,1,0,159,70
2002-05-20,Jerauld,817,673,2,0,120,18
2002-05-20,Jones,635,185,1,0,40,54
2002-05-20,Kingsbury,2292,1314,3,2,428,166
2002-05-20,Lake,3707,3031,14,2,689,481
2002-05-20,Lawrence,7432,3689,86,0,1838,2264
2002-05-20,Lincoln,7940,4769,12,4,2175,1999
2002-05-20,Lyman,1192,913,2,1,128,160
2002-05-20,Marshall,1210,1485,2,0,170,95
2002-05-20,McCook,1913,1549,3,1,432,229
2002-05-20,McPherson,1534,399,0,0,198,135
2002-05-20,Meade,7283,3272,38,8,1999,2714
2002-05-20,Mellette,637,585,0,0,115,49
2002-05-20,Miner,690,970,1,0,228,138
2002-05-20,Minnehaha,38678,32736,200,41,10997,11803
2002-05-20,Moody,1503,2019,1,0,554,263
2002-05-20,Pennington,27210,15302,303,9,9002,10452
2002-05-20,Perkins,1413,724,2,1,207,192
2002-05-20,Potter,1405,549,0,0,105,129
2002-05-20,Roberts,1899,3244,1,2,769,467
2002-05-20,Sanborn,985,827,0,0,110,80
2002-05-20,Shannon,544,3939,12,1,865,364
2002-05-20,Spink,2015,2028,3,3,437,442
2002-05-20,Stanley,1058,683,0,0,155,175
2002-05-20,Sully,700,369,3,0,80,77
2002-05-20,Todd,735,2642,5,0,718,403
2002-05-20,Tripp,2181,1400,1,0,268,337
2002-05-20,Turner,3278,1868,5,1,616,350
2002-05-20,Union,3584,3170,6,3,1448,1056
2002-05-20,Walworth,2520,1102,11,0,431,128
2002-05-20,Yankton,5915,4951,6,9,1753,1790
2002-05-20,Ziebach,443,819,3,0,187,100
