date,county,republican,libertarian,democratic,constitution,npa_ind,other,inactive
2018-08-01,Aurora,795,1,751,,259,3,89
2018-08-01,Beadle,4287,17,3289,5,2126,43,1054
2018-08-01,Bennett,671,2,813,,316,2,206
2018-08-01,Bon Homme,2051,11,1233,2,608,,306
2018-08-01,Brookings,7537,74,5117,25,5197,23,1729
2018-08-01,Brown,10249,58,8143,7,4180,40,2422
2018-08-01,Brule,1445,9,1204,5,551,2,231
2018-08-01,Buffalo,166,1,619,,115,1,81
2018-08-01,Butte,3838,31,972,8,1275,4,974
2018-08-01,Campbell,898,,122,,86,,121
2018-08-01,Charles Mix,2316,3,2337,2,860,,431
2018-08-01,Clark,1364,3,726,3,367,2,199
2018-08-01,Clay,2399,36,2832,3,2135,8,917
2018-08-01,Codington,8052,28,4695,13,3657,24,1740
2018-08-01,Corson,642,7,1181,2,441,7,249
2018-08-01,Custer,3820,21,1126,8,1398,19,817
2018-08-01,Davison,5349,19,3266,4,2452,26,1192
2018-08-01,Day,1515,11,1769,2,656,12,279
2018-08-01,Deuel,1324,9,821,7,678,,284
2018-08-01,Dewey,712,4,1991,1,559,5,201
2018-08-01,Douglas,1563,2,315,,197,,148
2018-08-01,Edmunds,1484,8,791,,400,4,191
2018-08-01,Fall River,2906,22,939,4,1188,20,610
2018-08-01,Faulk,1039,,275,1,245,,92
2018-08-01,Grant,2276,9,1417,2,922,11,553
2018-08-01,Gregory,1512,5,917,2,316,,129
2018-08-01,Haakon,1050,1,184,1,133,,38
2018-08-01,Hamlin,2522,2,718,,558,2,265
2018-08-01,Hand,1454,3,624,1,258,1,127
2018-08-01,Hanson,1585,3,787,3,703,2,560
2018-08-01,Harding,754,,102,,82,,68
2018-08-01,Hughes,6921,38,2300,4,1832,14,829
2018-08-01,Hutchinson,3258,3,1028,7,697,3,173
2018-08-01,Hyde,652,,208,,99,3,89
2018-08-01,Jackson,820,3,633,1,292,13,154
2018-08-01,Jerauld,640,3,463,1,183,,43
2018-08-01,Jones,511,1,91,,81,,35
2018-08-01,Kingsbury,1947,10,904,2,568,1,212
2018-08-01,Lake,4707,36,2880,3,2411,4,1063
2018-08-01,Lawrence,8896,97,3602,11,3858,15,2122
2018-08-01,Lincoln,17870,101,8631,35,9109,30,3058
2018-08-01,Lyman,1113,5,815,,268,1,146
2018-08-01,Marshall,1066,9,1194,,493,1,212
2018-08-01,McCook,1783,13,1053,6,712,,264
2018-08-01,McPherson,1256,8,268,,228,1,119
2018-08-01,Meade,9793,82,2980,29,3751,7,1567
2018-08-01,Mellette,480,1,472,1,147,,132
2018-08-01,Miner,593,2,613,1,287,1,75
2018-08-01,Minnehaha,45818,431,35465,136,30353,156,15077
2018-08-01,Moody,1515,6,1587,4,941,4,318
2018-08-01,Oglala Lakota,529,10,5356,2,1821,48,893
2018-08-01,Pennington,34536,368,15956,90,18870,148,7904
2018-08-01,Perkins,1392,6,399,3,338,5,167
2018-08-01,Potter,1303,1,283,2,149,2,107
2018-08-01,Roberts,1937,6,3062,4,1273,17,652
2018-08-01,Sanborn,831,3,483,1,225,2,80
2018-08-01,Spink,2136,5,1343,,614,4,338
2018-08-01,Stanley,1338,2,438,2,276,,138
2018-08-01,Sully,759,,211,,114,1,52
2018-08-01,Todd,678,6,2910,3,871,7,733
2018-08-01,Tripp,2210,4,908,7,534,1,311
2018-08-01,Turner,3048,8,1413,2,1092,11,315
2018-08-01,Union,5367,24,2682,12,3114,12,1413
2018-08-01,Walworth,2409,7,768,4,476,1,315
2018-08-01,Yankton,6125,52,4037,5,3269,14,1184
2018-08-01,Ziebach,403,4,841,,285,3,144
