date,county,democratic,libertarian,republican,independent,other,npa,no_labels,inactive
2025-06-02,Aurora,511,2,1000,232,2,100,,102
2025-06-02,Beadle,2473,27,5204,1378,41,1190,1,746
2025-06-02,Bennett,674,7,726,198,2,200,,174
2025-06-02,Bon Homme,873,12,2422,491,,241,,283
2025-06-02,Brookings,5094,108,10132,3673,21,2874,1,1573
2025-06-02,Brown,7145,103,13026,3584,12,1990,3,1080
2025-06-02,Brule,882,12,1775,466,4,220,,165
2025-06-02,Buffalo,532,2,154,76,4,101,,116
2025-06-02,Butte,766,54,4651,870,21,662,,1324
2025-06-02,Campbell,103,1,916,74,,48,,72
2025-06-02,Charles Mix,1767,9,2741,592,,362,,438
2025-06-02,Clark,526,4,1667,261,,170,,136
2025-06-02,Clay,2901,36,3084,1460,14,1156,5,1213
2025-06-02,Codington,3829,61,10619,2621,26,2018,,1564
2025-06-02,Corson,965,5,761,284,3,310,,226
2025-06-02,Custer,1041,37,5203,1131,24,696,1,971
2025-06-02,Davison,2761,32,6945,1906,32,1528,4,1247
2025-06-02,Day,1237,12,1923,588,1,172,,216
2025-06-02,Deuel,581,10,1782,493,,298,1,119
2025-06-02,Dewey,1785,4,783,424,3,419,,225
2025-06-02,Douglas,200,1,1668,140,,106,,107
2025-06-02,Edmunds,502,7,1795,249,2,204,,139
2025-06-02,Fall River,887,40,3988,898,2,714,1,391
2025-06-02,Faulk,186,,1121,218,,40,,58
2025-06-02,Grant,1032,19,2753,712,9,382,,333
2025-06-02,Gregory,608,4,1867,346,,85,,151
2025-06-02,Haakon,113,2,1171,81,2,32,3,61
2025-06-02,Hamlin,537,7,3092,386,1,279,,108
2025-06-02,Hand,374,8,1651,186,4,53,,46
2025-06-02,Hanson,589,6,1916,494,8,382,,483
2025-06-02,Harding,61,6,837,76,1,45,,46
2025-06-02,Hughes,2150,48,7389,1425,19,987,,1015
2025-06-02,Hutchinson,707,15,3452,535,8,336,,197
2025-06-02,Hyde,150,1,661,95,,32,,42
2025-06-02,Jackson,577,6,913,171,1,175,,128
2025-06-02,Jerauld,322,6,736,131,1,72,,66
2025-06-02,Jones,63,1,524,57,,27,1,51
2025-06-02,Kingsbury,650,8,2329,392,3,334,,268
2025-06-02,Lake,1899,26,4376,966,5,627,2,2120
2025-06-02,Lawrence,3962,182,12425,3327,43,2813,7,2364
2025-06-02,Lincoln,10196,229,26066,7897,82,5445,13,4907
2025-06-02,Lyman,647,4,1169,215,1,173,,111
2025-06-02,Marshall,947,2,1321,383,2,177,,163
2025-06-02,McCook,794,8,2409,520,3,272,,143
2025-06-02,McPherson,183,8,1325,130,1,70,,121
2025-06-02,Meade,2809,157,13108,2868,26,2170,3,1600
2025-06-02,Mellette,415,1,498,192,,71,,67
2025-06-02,Miner,420,5,857,228,,115,,78
2025-06-02,Minnehaha,36184,739,59778,22788,245,19066,15,16860
2025-06-02,Moody,1297,16,1984,707,4,438,2,203
2025-06-02,Oglala Lakota,5276,18,602,987,1,1272,,612
2025-06-02,Pennington,18061,684,47180,13366,221,12248,27,9818
2025-06-02,Perkins,258,4,1572,194,4,161,,178
2025-06-02,Potter,183,2,1354,111,5,45,1,139
2025-06-02,Roberts,2366,9,2280,941,18,639,,470
2025-06-02,Sanborn,351,7,999,165,,125,1,58
2025-06-02,Spink,978,8,2575,458,3,237,,195
2025-06-02,Stanley,330,7,1592,195,,125,,193
2025-06-02,Sully,158,4,843,109,,37,,67
2025-06-02,Todd,2757,7,679,595,6,574,,725
2025-06-02,Tripp,552,5,2460,350,7,230,,369
2025-06-02,Turner,1119,15,3683,899,2,381,,225
2025-06-02,Union,2314,44,6716,2230,9,1514,2,2174
2025-06-02,Walworth,577,11,2485,336,11,286,,459
2025-06-02,Yankton,3443,60,7520,2539,17,1360,1,1516
2025-06-02,Ziebach,737,5,430,175,1,252,,93
