date,county,republican,democratic,other
1984-05-21,Aurora,935,1417,106
1984-05-21,Beadle,4617,6230,982
1984-05-21,Bennett,786,1010,93
1984-05-21,Bon Homme,2876,2606,279
1984-05-21,Brookings,6918,5521,2964
1984-05-21,Brown,9541,11739,1882
1984-05-21,Brule,1121,2264,127
1984-05-21,Buffalo,257,559,40
1984-05-21,Butte,3318,1186,200
1984-05-21,Campbell,1398,256,36
1984-05-21,Charles Mix,1898,3453,222
1984-05-21,Clark,1841,1339,156
1984-05-21,Clay,3132,3757,1200
1984-05-21,Codington,5009,5734,1709
1984-05-21,Corson,1070,1360,157
1984-05-21,Custer,1929,1328,419
1984-05-21,Davison,4334,5532,1068
1984-05-21,Day,2106,2828,231
1984-05-21,Deuel,1527,1312,314
1984-05-21,Dewey,1080,1232,170
1984-05-21,Douglas,2002,694,113
1984-05-21,Edmunds,1552,1532,113
1984-05-21,Fall River,3131,2176,549
1984-05-21,Faulk,1031,1037,202
1984-05-21,Grant,2570,2329,528
1984-05-21,Gregory,1902,2121,153
1984-05-21,Haakon,1180,546,66
1984-05-21,Hamlin,2035,1311,266
1984-05-21,Hand,1720,1472,250
1984-05-21,Hanson,826,947,258
1984-05-21,Harding,774,336,43
1984-05-21,Hughes,4785,2773,827
1984-05-21,Hutchinson,4312,1475,121
1984-05-21,Hyde,694,697,66
1984-05-21,Jackson,1008,684,62
1984-05-21,Jerauld,1000,875,108
1984-05-21,Jones,644,369,38
1984-05-21,Kingsbury,2590,1468,247
1984-05-21,Lake,3188,3219,429
1984-05-21,Lawrence,5870,3640,954
1984-05-21,Lincoln,4243,3500,743
1984-05-21,Lyman,1277,862,62
1984-05-21,Marshall,1475,1931,120
1984-05-21,McCook,1897,1807,331
1984-05-21,McPherson,2233,504,82
1984-05-21,Meade,5078,3685,879
1984-05-21,Mellette,689,641,89
1984-05-21,Miner,878,1449,175
1984-05-21,Minnehaha,31637,33569,5519
1984-05-21,Moody,1558,2072,406
1984-05-21,Pennington,19822,15099,3905
1984-05-21,Perkins,1727,1226,172
1984-05-21,Potter,1713,747,61
1984-05-21,Roberts,1964,3586,566
1984-05-21,Sanborn,1082,1005,125
1984-05-21,Shannon,483,3244,471
1984-05-21,Spink,2290,2764,418
1984-05-21,Stanley,845,720,141
1984-05-21,Sully,801,557,58
1984-05-21,Todd,690,1874,244
1984-05-21,Tripp,2341,1888,281
1984-05-21,Turner,3620,1688,378
1984-05-21,Union,2400,3208,689
1984-05-21,Walworth,2716,1331,215
1984-05-21,Yankton,5312,4441,838
1984-05-21,Ziebach,522,528,116
