date,county,democratic,libertarian,republican,npa_ind,other,inactive
2023-05-01,Aurora,565,4,940,317,2,97
2023-05-01,Beadle,2749,21,4906,2441,36,631
2023-05-01,Bennett,729,5,717,416,2,183
2023-05-01,Bon Homme,955,11,2251,680,2,296
2023-05-01,Brookings,5156,100,9221,6101,34,1448
2023-05-01,Brown,7613,90,12083,5110,49,1283
2023-05-01,Brule,955,12,1679,640,6,113
2023-05-01,Buffalo,577,2,167,167,3,72
2023-05-01,Butte,827,54,4400,1484,13,1299
2023-05-01,Campbell,105,1,928,99,,90
2023-05-01,Charles Mix,1890,9,2626,888,5,373
2023-05-01,Clark,588,4,1583,372,16,163
2023-05-01,Clay,3024,37,2951,2543,19,738
2023-05-01,Codington,4105,57,9691,3990,28,1529
2023-05-01,Corson,1058,6,731,518,3,218
2023-05-01,Custer,1099,34,4833,1663,35,1125
2023-05-01,Davison,2882,32,6389,2966,39,1239
2023-05-01,Day,1404,12,1830,702,16,149
2023-05-01,Deuel,668,9,1660,689,9,176
2023-05-01,Dewey,1861,3,750,711,8,233
2023-05-01,Douglas,235,,1686,219,,64
2023-05-01,Edmunds,567,7,1715,392,3,175
2023-05-01,Fall River,906,38,3668,1399,31,604
2023-05-01,Faulk,209,,1088,242,2,55
2023-05-01,Grant,1149,16,2618,1012,10,366
2023-05-01,Gregory,686,3,1762,401,1,166
2023-05-01,Haakon,128,5,1144,115,1,58
2023-05-01,Hamlin,611,8,2910,592,3,151
2023-05-01,Hand,428,8,1582,231,4,107
2023-05-01,Hanson,657,6,1804,832,11,537
2023-05-01,Harding,71,6,819,106,,56
2023-05-01,Hughes,2214,51,7296,2173,22,844
2023-05-01,Hutchinson,778,11,3390,763,7,190
2023-05-01,Hyde,167,1,660,109,3,28
2023-05-01,Jackson,633,9,881,322,9,74
2023-05-01,Jerauld,370,5,673,190,1,60
2023-05-01,Jones,68,1,516,83,1,42
2023-05-01,Kingsbury,743,8,2245,642,3,303
2023-05-01,Lake,2102,26,4146,1636,9,1850
2023-05-01,Lawrence,3852,156,11295,5154,47,2206
2023-05-01,Lincoln,9963,219,23272,11768,76,4567
2023-05-01,Lyman,713,7,1148,357,1,56
2023-05-01,Marshall,1015,6,1248,531,4,211
2023-05-01,McCook,838,13,2260,758,6,120
2023-05-01,McPherson,217,8,1303,211,2,195
2023-05-01,Meade,3048,156,12374,4720,34,797
2023-05-01,Mellette,419,4,492,217,1,74
2023-05-01,Miner,473,3,788,332,3,80
2023-05-01,Minnehaha,36954,717,55939,38898,309,16984
2023-05-01,Moody,1365,14,1799,1017,3,339
2023-05-01,Oglala Lakota,5373,20,549,2022,44,815
2023-05-01,Pennington,18063,679,44513,23943,283,7743
2023-05-01,Perkins,280,5,1504,337,6,194
2023-05-01,Potter,209,3,1339,157,4,136
2023-05-01,Roberts,2583,14,2146,1465,22,447
2023-05-01,Sanborn,363,7,952,269,3,94
2023-05-01,Spink,1069,11,2465,637,8,198
2023-05-01,Stanley,363,6,1513,273,11,213
2023-05-01,Sully,180,4,804,147,3,57
2023-05-01,Todd,2849,8,689,1072,7,824
2023-05-01,Tripp,663,9,2352,564,10,415
2023-05-01,Turner,1203,12,3467,1209,15,194
2023-05-01,Union,2496,40,6204,3692,13,2070
2023-05-01,Walworth,638,9,2447,511,8,520
2023-05-01,Yankton,3629,64,7187,3773,17,1462
2023-05-01,Ziebach,792,7,424,396,3,111
