date,county,republican,libertarian,democratic,constitution,npa_ind,other,inactive
2017-10-03,Aurora,790,1,781,,250,3,96
2017-10-03,Beadle,4262,18,3399,6,2071,39,961
2017-10-03,Bennett,657,1,814,,313,2,219
2017-10-03,Bon Homme,1911,11,1323,2,622,1,299
2017-10-03,Brookings,7278,72,5109,21,5022,21,1806
2017-10-03,Brown,9800,65,8378,7,4149,31,2541
2017-10-03,Brule,1420,10,1225,5,529,2,209
2017-10-03,Buffalo,163,1,626,,103,2,84
2017-10-03,Butte,3725,28,985,7,1237,5,992
2017-10-03,Campbell,874,,123,,89,,129
2017-10-03,Charles Mix,2259,3,2391,2,828,,456
2017-10-03,Clark,1346,1,747,3,365,2,207
2017-10-03,Clay,2350,35,2846,3,2037,7,952
2017-10-03,Codington,7475,25,4994,14,3739,27,1667
2017-10-03,Corson,640,7,1185,2,406,6,268
2017-10-03,Custer,3694,21,1159,8,1413,19,691
2017-10-03,Davison,5264,20,3369,2,2360,24,1094
2017-10-03,Day,1475,9,1831,2,640,12,291
2017-10-03,Deuel,1289,8,885,7,718,1,205
2017-10-03,Dewey,704,3,2035,1,553,4,209
2017-10-03,Douglas,1529,2,328,,191,,166
2017-10-03,Edmunds,1455,8,810,,401,6,201
2017-10-03,Fall River,2792,15,951,1,1154,21,616
2017-10-03,Faulk,846,,404,1,306,,96
2017-10-03,Grant,2264,9,1481,2,944,12,496
2017-10-03,Gregory,1476,4,930,2,310,,137
2017-10-03,Haakon,1042,1,192,1,132,,40
2017-10-03,Hamlin,2345,2,763,3,558,2,286
2017-10-03,Hand,1431,4,660,1,264,1,131
2017-10-03,Hanson,1567,3,793,2,671,2,573
2017-10-03,Harding,749,1,103,,77,,72
2017-10-03,Hughes,6759,33,2308,4,1789,14,861
2017-10-03,Hutchinson,3193,4,1053,6,645,4,187
2017-10-03,Hyde,662,2,226,,106,3,43
2017-10-03,Jackson,861,4,701,1,304,18,33
2017-10-03,Jerauld,597,1,476,2,185,,48
2017-10-03,Jones,506,1,90,,80,,38
2017-10-03,Kingsbury,1774,7,986,1,587,1,227
2017-10-03,Lake,4492,30,2919,2,2251,5,1091
2017-10-03,Lawrence,8639,89,3634,10,3696,18,2190
2017-10-03,Lincoln,17161,89,8643,29,8748,26,2689
2017-10-03,Lyman,1098,4,835,1,262,2,157
2017-10-03,Marshall,1042,9,1202,,486,1,213
2017-10-03,McCook,1761,15,1098,6,668,,250
2017-10-03,McPherson,1248,2,274,,216,1,127
2017-10-03,Meade,9320,78,3048,33,3581,6,1615
2017-10-03,Mellette,479,1,476,1,135,,132
2017-10-03,Miner,575,2,634,1,271,1,79
2017-10-03,Minnehaha,46675,411,37599,135,30409,160,9447
2017-10-03,Moody,1472,7,1609,4,900,3,332
2017-10-03,Oglala Lakota,533,11,5508,2,1746,52,806
2017-10-03,Pennington,34771,359,17088,88,19218,141,3895
2017-10-03,Perkins,1378,6,422,3,317,5,172
2017-10-03,Potter,1283,1,292,2,148,2,112
2017-10-03,Roberts,1832,7,3135,4,1248,17,687
2017-10-03,Sanborn,818,3,499,1,217,3,84
2017-10-03,Spink,2014,5,1514,1,679,5,212
2017-10-03,Stanley,1304,3,460,2,270,,135
2017-10-03,Sully,738,,227,,114,1,54
2017-10-03,Todd,687,6,2974,3,814,5,669
2017-10-03,Tripp,2174,2,940,7,511,1,286
2017-10-03,Turner,2996,8,1451,3,1059,10,352
2017-10-03,Union,5136,23,2710,9,2974,13,1476
2017-10-03,Walworth,2427,6,803,5,469,1,252
2017-10-03,Yankton,5805,50,4175,4,3150,14,1240
2017-10-03,Ziebach,395,4,853,,275,4,130
