date,county,republican,libertarian,democratic,npa_ind,other,inactive
2022-05-02,Aurora,889,1,614,283,2,103
2022-05-02,Beadle,4602,23,2839,2303,39,655
2022-05-02,Bennett,709,3,724,366,2,195
2022-05-02,Bon Homme,2183,11,989,664,3,314
2022-05-02,Brookings,8649,90,5149,5846,35,1504
2022-05-02,Brown,11468,94,7717,4890,48,1911
2022-05-02,Brule,1602,9,1002,585,5,124
2022-05-02,Buffalo,164,1,594,157,3,78
2022-05-02,Butte,4141,49,857,1361,17,1351
2022-05-02,Campbell,907,,107,98,,99
2022-05-02,Charles Mix,2519,8,1964,832,5,424
2022-05-02,Clark,1496,4,608,376,14,178
2022-05-02,Clay,2708,40,2929,2340,18,763
2022-05-02,Codington,9137,54,4225,3914,30,1632
2022-05-02,Corson,703,5,1069,497,3,235
2022-05-02,Custer,4429,32,1123,1620,33,1145
2022-05-02,Davison,6039,26,2955,2700,34,1292
2022-05-02,Day,1732,10,1449,700,16,161
2022-05-02,Deuel,1568,9,695,692,7,187
2022-05-02,Dewey,733,3,1911,635,8,226
2022-05-02,Douglas,1634,,253,205,,68
2022-05-02,Edmunds,1618,6,608,396,3,196
2022-05-02,Fall River,3457,32,904,1323,33,613
2022-05-02,Faulk,1054,,211,231,2,59
2022-05-02,Grant,2509,13,1196,975,11,389
2022-05-02,Gregory,1678,3,710,369,,179
2022-05-02,Haakon,1097,3,139,127,1,63
2022-05-02,Hamlin,2770,6,633,587,1,162
2022-05-02,Hand,1506,7,480,227,4,127
2022-05-02,Hanson,1722,5,689,791,11,555
2022-05-02,Harding,796,5,77,91,,60
2022-05-02,Hughes,7045,50,2255,2086,20,893
2022-05-02,Hutchinson,3248,8,805,733,6,206
2022-05-02,Hyde,647,,174,111,3,28
2022-05-02,Jackson,840,9,642,317,9,79
2022-05-02,Jerauld,635,6,386,186,2,67
2022-05-02,Jones,515,1,78,79,1,34
2022-05-02,Kingsbury,2153,5,790,611,3,319
2022-05-02,Lake,4032,28,2139,1642,8,1878
2022-05-02,Lawrence,10385,143,3709,4688,44,2235
2022-05-02,Lincoln,21510,204,9648,11007,66,4716
2022-05-02,Lyman,1114,7,742,321,1,67
2022-05-02,Marshall,1167,6,1043,528,3,228
2022-05-02,McCook,2065,13,882,755,8,139
2022-05-02,McPherson,1254,8,227,221,2,209
2022-05-02,Meade,11568,128,3070,4488,35,844
2022-05-02,Mellette,496,3,424,188,1,78
2022-05-02,Miner,696,4,492,307,4,86
2022-05-02,Minnehaha,52704,647,36498,36702,321,17391
2022-05-02,Moody,1657,11,1404,1003,4,359
2022-05-02,Oglala Lakota,520,19,5361,1961,47,851
2022-05-02,Pennington,41362,614,17615,23094,268,10020
2022-05-02,Perkins,1456,5,295,324,6,200
2022-05-02,Potter,1315,4,223,159,4,143
2022-05-02,Roberts,2058,13,2702,1378,23,418
2022-05-02,Sanborn,905,5,386,254,4,103
2022-05-02,Spink,2286,10,1178,624,8,220
2022-05-02,Stanley,1414,4,378,284,12,223
2022-05-02,Sully,777,4,190,134,3,63
2022-05-02,Todd,675,6,2849,965,8,872
2022-05-02,Tripp,2275,8,695,555,9,446
2022-05-02,Turner,3300,10,1238,1162,17,208
2022-05-02,Union,5834,35,2505,3584,13,2120
2022-05-02,Walworth,2369,10,665,469,8,542
2022-05-02,Yankton,6734,70,3745,3728,15,1613
2022-05-02,Ziebach,403,7,796,370,3,119
