date,county,democratic,libertarian,republican,independent,other,npa,inactive
2023-07-05,Aurora,560,4,947,230,2,91,96
2023-07-05,Beadle,2749,22,4909,1427,37,1018,627
2023-07-05,Bennett,726,5,718,221,2,199,181
2023-07-05,Bon Homme,949,11,2266,495,2,185,206
2023-07-05,Brookings,5161,102,9275,3617,34,2518,1061
2023-07-05,Brown,7517,91,12065,3509,49,1553,1093
2023-07-05,Brule,954,14,1691,461,5,184,98
2023-07-05,Buffalo,574,2,167,73,3,94,71
2023-07-05,Butte,829,55,4420,932,13,577,1150
2023-07-05,Campbell,104,1,931,73,,29,64
2023-07-05,Charles Mix,1883,10,2634,576,5,320,307
2023-07-05,Clark,589,4,1586,272,16,98,109
2023-07-05,Clay,3035,37,2982,1442,19,1105,496
2023-07-05,Codington,4099,57,9729,2629,26,1378,1229
2023-07-05,Corson,1057,6,728,289,3,230,141
2023-07-05,Custer,1101,34,4884,1122,34,559,735
2023-07-05,Davison,2879,32,6464,1850,40,1195,990
2023-07-05,Day,1398,12,1844,597,15,115,85
2023-07-05,Deuel,663,9,1658,492,9,201,117
2023-07-05,Dewey,1860,3,749,415,7,304,230
2023-07-05,Douglas,235,,1688,152,,74,49
2023-07-05,Edmunds,563,7,1721,271,3,120,102
2023-07-05,Fall River,903,39,3676,927,31,488,401
2023-07-05,Faulk,208,,1091,218,2,22,43
2023-07-05,Grant,1138,17,2629,732,10,278,282
2023-07-05,Gregory,688,3,1771,334,1,67,123
2023-07-05,Haakon,127,5,1151,88,1,29,42
2023-07-05,Hamlin,611,9,2954,388,3,207,75
2023-07-05,Hand,425,8,1567,183,4,47,112
2023-07-05,Hanson,659,6,1811,521,11,318,349
2023-07-05,Harding,72,6,820,72,,34,56
2023-07-05,Hughes,2207,51,7329,1432,22,750,660
2023-07-05,Hutchinson,776,12,3413,516,7,261,101
2023-07-05,Hyde,165,1,663,96,3,15,17
2023-07-05,Jackson,633,9,885,177,9,148,59
2023-07-05,Jerauld,369,5,671,134,1,56,38
2023-07-05,Jones,67,1,515,60,1,23,34
2023-07-05,Kingsbury,737,9,2257,386,3,263,246
2023-07-05,Lake,2096,29,4232,1070,9,606,1845
2023-07-05,Lawrence,3875,159,11383,3133,52,2124,1738
2023-07-05,Lincoln,10028,224,23478,7514,78,4414,3771
2023-07-05,Lyman,711,7,1150,224,1,136,30
2023-07-05,Marshall,1010,6,1254,398,4,140,144
2023-07-05,McCook,834,12,2277,516,6,250,70
2023-07-05,McPherson,218,8,1305,143,2,69,147
2023-07-05,Meade,3039,156,12448,2869,34,1898,569
2023-07-05,Mellette,419,3,497,172,1,52,40
2023-07-05,Miner,470,3,797,238,3,95,54
2023-07-05,Minnehaha,37095,718,56323,22409,313,16927,12308
2023-07-05,Moody,1359,14,1800,677,3,349,238
2023-07-05,Oglala Lakota,5379,20,555,1029,44,988,530
2023-07-05,Pennington,18175,679,44924,13077,293,11080,6044
2023-07-05,Perkins,281,5,1508,199,6,142,142
2023-07-05,Potter,204,3,1354,125,5,34,106
2023-07-05,Roberts,2577,14,2154,989,22,486,453
2023-07-05,Sanborn,361,7,959,159,3,112,67
2023-07-05,Spink,1066,11,2467,459,8,181,196
2023-07-05,Stanley,363,6,1517,196,11,79,170
2023-07-05,Sully,177,4,808,118,3,32,51
2023-07-05,Todd,2854,8,693,577,7,514,807
2023-07-05,Tripp,654,9,2361,372,10,191,409
2023-07-05,Turner,1203,14,3480,917,15,296,111
2023-07-05,Union,2494,42,6240,2305,14,1410,1566
2023-07-05,Walworth,635,9,2459,350,8,177,315
2023-07-05,Yankton,3625,63,7219,2576,17,1224,1225
2023-07-05,Ziebach,791,7,428,187,3,208,57
