date,county,democratic,libertarian,republican,independent,other,npa,no_labels,inactive
2024-11-01,Aurora,518,2,982,230,2,100,,107
2024-11-01,Beadle,2501,26,5113,1383,41,1123,1,787
2024-11-01,Bennett,684,6,727,207,2,197,,190
2024-11-01,Bon Homme,888,13,2369,480,,230,,290
2024-11-01,Brookings,5101,106,9939,3623,21,2794,1,1594
2024-11-01,Brown,7278,99,12857,3582,10,1948,2,1132
2024-11-01,Brule,904,15,1745,466,4,213,,173
2024-11-01,Buffalo,533,2,150,72,4,95,,120
2024-11-01,Butte,777,56,4574,878,19,641,,1363
2024-11-01,Campbell,104,1,909,76,,40,,73
2024-11-01,Charles Mix,1788,9,2713,589,,343,,444
2024-11-01,Clark,543,4,1640,265,,152,,142
2024-11-01,Clay,2895,37,3038,1438,11,1134,5,1231
2024-11-01,Codington,3893,63,10427,2604,28,1831,,1629
2024-11-01,Corson,969,5,742,282,2,284,,234
2024-11-01,Custer,1055,36,5109,1114,23,655,1,992
2024-11-01,Davison,2784,33,6854,1903,36,1470,3,1280
2024-11-01,Day,1269,11,1910,588,,164,,228
2024-11-01,Deuel,592,10,1762,485,,276,,122
2024-11-01,Dewey,1775,3,765,426,,383,,241
2024-11-01,Douglas,205,1,1665,144,,93,,114
2024-11-01,Edmunds,519,7,1777,255,2,169,,143
2024-11-01,Fall River,892,41,3946,904,2,641,1,401
2024-11-01,Faulk,196,1,1127,217,,38,,60
2024-11-01,Grant,1058,18,2724,706,11,342,,341
2024-11-01,Gregory,618,4,1853,343,,85,,155
2024-11-01,Haakon,117,2,1167,86,2,29,,62
2024-11-01,Hamlin,543,7,3066,371,,254,,224
2024-11-01,Hand,402,7,1649,187,4,51,,97
2024-11-01,Hanson,599,6,1882,495,6,367,,487
2024-11-01,Harding,63,6,835,75,1,42,,51
2024-11-01,Hughes,2148,46,7344,1401,18,935,,1046
2024-11-01,Hutchinson,719,14,3427,525,8,323,,214
2024-11-01,Hyde,150,1,656,95,,29,,43
2024-11-01,Jackson,583,6,916,166,1,164,,131
2024-11-01,Jerauld,330,6,721,132,1,68,,70
2024-11-01,Jones,62,1,525,60,,28,1,53
2024-11-01,Kingsbury,672,7,2296,395,2,310,,282
2024-11-01,Lake,1903,25,4326,959,5,606,2,2140
2024-11-01,Lawrence,3939,173,12172,3264,41,2626,4,2397
2024-11-01,Lincoln,10126,230,25296,7727,80,5277,10,5025
2024-11-01,Lyman,658,4,1160,218,1,151,,108
2024-11-01,Marshall,967,2,1305,383,2,168,,165
2024-11-01,McCook,793,8,2389,523,3,271,,150
2024-11-01,McPherson,192,8,1330,132,,68,,164
2024-11-01,Meade,2816,155,12836,2834,20,2097,2,1641
2024-11-01,Mellette,411,1,500,182,,63,,64
2024-11-01,Miner,433,5,846,233,,110,,81
2024-11-01,Minnehaha,36165,740,58661,22569,253,18431,16,17711
2024-11-01,Moody,1307,15,1946,703,4,412,1,210
2024-11-01,Oglala Lakota,5257,19,587,980,1,1217,,637
2024-11-01,Pennington,18034,679,46460,13162,212,12033,24,9949
2024-11-01,Perkins,259,4,1564,194,4,157,,178
2024-11-01,Potter,181,1,1346,108,6,41,1,145
2024-11-01,Roberts,2381,10,2240,938,19,607,,496
2024-11-01,Sanborn,358,7,988,165,,126,1,62
2024-11-01,Spink,1006,10,2550,449,3,229,,207
2024-11-01,Stanley,335,7,1569,189,,113,,203
2024-11-01,Sully,162,5,822,109,,36,,68
2024-11-01,Todd,2743,7,662,581,5,557,,764
2024-11-01,Tripp,568,7,2439,348,7,223,,382
2024-11-01,Turner,1132,15,3644,904,,363,,240
2024-11-01,Union,2318,45,6578,2205,9,1462,1,2203
2024-11-01,Walworth,580,8,2471,336,11,254,,472
2024-11-01,Yankton,3497,62,7457,2559,14,1314,,1597
2024-11-01,Ziebach,751,5,434,173,,245,,96
