date,county,republican,democratic,libertarian,reform,other,inactive
2002-10-21,Aurora,840,1093,2,0,112,116
2002-10-21,Beadle,4636,5117,33,0,1535,857
2002-10-21,Bennett,740,1435,2,1,191,158
2002-10-21,Bon Homme,2255,1916,5,0,396,135
2002-10-21,Brookings,7775,5753,79,7,3348,2398
2002-10-21,Brown,9519,10346,26,7,2875,2198
2002-10-21,Brule,1306,1762,4,2,322,264
2002-10-21,Buffalo,171,849,0,0,103,84
2002-10-21,Butte,3369,1185,25,1,597,1018
2002-10-21,Campbell,1144,218,2,0,48,45
2002-10-21,Charles Mix,2019,3282,3,1,421,531
2002-10-21,Clark,1547,1111,2,0,201,218
2002-10-21,Clay,3478,3887,27,1,1676,1451
2002-10-21,Codington,6929,6512,23,2,2414,1299
2002-10-21,Corson,789,1459,21,0,300,300
2002-10-21,Custer,3084,1219,19,2,831,583
2002-10-21,Davison,4892,4304,16,1,1332,751
2002-10-21,Day,1611,2214,1,0,374,419
2002-10-21,Deuel,1309,1198,2,1,453,170
2002-10-21,Dewey,954,2694,3,0,478,63
2002-10-21,Douglas,1763,489,0,0,123,86
2002-10-21,Edmunds,1488,1329,3,0,220,250
2002-10-21,Fall River,2709,1433,21,0,797,523
2002-10-21,Faulk,898,673,2,3,203,67
2002-10-21,Grant,2419,2004,1,1,759,358
2002-10-21,Gregory,1691,1470,2,0,247,160
2002-10-21,Haakon,1204,378,0,0,73,0
2002-10-21,Hamlin,2092,1260,3,2,415,85
2002-10-21,Hand,1659,1117,2,0,246,133
2002-10-21,Hanson,1009,983,2,0,533,105
2002-10-21,Harding,755,167,0,0,33,110
2002-10-21,Hughes,7120,2697,13,0,1036,1295
2002-10-21,Hutchinson,3865,1433,5,1,334,204
2002-10-21,Hyde,727,421,3,2,69,97
2002-10-21,Jackson,890,810,1,0,179,70
2002-10-21,Jerauld,825,683,2,0,123,16
2002-10-21,Jones,655,182,1,0,44,51
2002-10-21,Kingsbury,2329,1343,5,2,442,156
2002-10-21,Lake,3746,3139,15,2,726,487
2002-10-21,Lawrence,7805,3861,90,4,1894,2159
2002-10-21,Lincoln,8748,5231,14,4,2369,1912
2002-10-21,Lyman,1211,1226,2,1,140,151
2002-10-21,Marshall,1213,1527,2,0,184,94
2002-10-21,Mccook,1955,1578,5,1,433,223
2002-10-21,Mcpherson,1591,398,1,0,174,139
2002-10-21,Meade,7733,3381,41,8,2088,2658
2002-10-21,Mellette,626,682,0,0,108,45
2002-10-21,Miner,698,986,2,0,229,140
2002-10-21,Minnehaha,41037,34612,209,43,11964,11286
2002-10-21,Moody,1544,2119,2,0,583,247
2002-10-21,Pennington,28538,16383,320,10,10048,10048
2002-10-21,Perkins,1405,696,2,0,209,164
2002-10-21,Potter,1404,555,0,0,101,124
2002-10-21,Roberts,1935,3651,5,1,785,430
2002-10-21,Sanborn,1011,850,0,0,113,80
2002-10-21,Shannon,505,5556,10,2,917,322
2002-10-21,Spink,2101,2085,4,3,441,419
2002-10-21,Stanley,1112,705,0,0,160,157
2002-10-21,Sully,720,368,4,0,82,71
2002-10-21,Todd,713,3521,4,0,646,388
2002-10-21,Tripp,2242,1485,1,0,304,346
2002-10-21,Turner,3319,1909,5,1,627,348
2002-10-21,Union,3712,3218,6,3,1511,1038
2002-10-21,Walworth,2543,1139,12,0,452,139
2002-10-21,Yankton,6130,5081,29,2,1809,1780
2002-10-21,Ziebach,438,975,2,0,191,145
