date,county,republican,democratic,constitution,libertarian,other,independent,inactive
2012-11-06,Minnehaha,46236,42439,122,268,6,21519,10386
2012-11-06,Pennington,32123,18104,39,205,141,13656,7610
2012-11-06,Brown,9693,10171,4,50,38,3423,2178
2012-11-06,Beadle,4476,4324,3,23,69,1765,1396
2012-11-06,Codington,7286,6329,8,27,12,3182,1729
2012-11-06,Brookings,7592,6341,7,58,29,4700,2515
2012-11-06,Yankton,6056,5168,8,37,14,2671,1402
2012-11-06,Davison,5357,4282,3,18,15,1978,946
2012-11-06,Lawrence,8752,4633,14,72,15,3195,2231
2012-11-06,Aurora,774,918,0,4,2,210,120
2012-11-06,Bennett,679,985,0,3,0,226,340
2012-11-06,Bon Homme,1870,1586,1,9,0,505,251
2012-11-06,Brule,1394,1530,6,4,0,469,258
2012-11-06,Buffalo,158,644,0,1,0,76,212
2012-11-06,Butte,3885,1346,9,30,0,1146,384
2012-11-06,Campbell,937,181,0,1,0,87,70
2012-11-06,Charles Mix,2171,2848,3,3,4,639,943
2012-11-06,Clark,1408,926,2,3,2,267,313
2012-11-06,Clay,2634,3630,2,25,9,1985,808
2012-11-06,Corson,691,1382,1,9,3,345,334
2012-11-06,Custer,3396,1354,8,15,2,1127,329
2012-11-06,Day,1502,2185,1,3,0,541,120
2012-11-06,Deuel,1242,1098,4,4,0,641,174
2012-11-06,Dewey,677,2021,1,0,2,398,179
2012-11-06,Douglas,1705,429,0,1,0,157,104
2012-11-06,Edmunds,1422,1049,0,2,4,329,136
2012-11-06,Fall River,2851,1270,2,6,34,961,789
2012-11-06,Faulk,850,496,0,1,3,255,35
2012-11-06,Grant,2308,1874,2,4,3,925,467
2012-11-06,Gregory,1476,1120,2,1,0,264,232
2012-11-06,Haakon,1042,251,0,0,0,83,35
2012-11-06,Hamlin,2172,1084,2,0,1,543,101
2012-11-06,Hand,1402,895,1,1,1,245,157
2012-11-06,Hanson,1681,1113,1,3,1,843,178
2012-11-06,Harding,739,136,0,0,0,71,59
2012-11-06,Hughes,6853,2672,5,25,2,1415,1577
2012-11-06,Hutchinson,3225,1201,5,4,0,450,419
2012-11-06,Hyde,705,252,0,2,3,69,24
2012-11-06,Jackson,819,681,0,2,26,180,185
2012-11-06,Jerauld,641,566,0,1,0,155,115
2012-11-06,Jones,537,135,1,2,4,71,38
2012-11-06,Kingsbury,1841,1199,1,4,1,474,95
2012-11-06,Lake,4044,3359,7,20,7,1496,314
2012-11-06,Lincoln,15206,8592,20,51,22,6010,2431
2012-11-06,Lyman,1112,1031,1,3,1,228,233
2012-11-06,McCook,1836,1342,5,5,0,561,260
2012-11-06,McPherson,1299,317,0,1,1,194,163
2012-11-06,Marshall,1094,1467,0,4,1,388,98
2012-11-06,Meade,8933,3752,15,36,0,2785,2819
2012-11-06,Mellette,518,563,0,1,0,126,133
2012-11-06,Miner,588,831,1,3,1,262,104
2012-11-06,Moody,1478,1897,0,8,1,792,683
2012-11-06,Perkins,1337,558,5,2,0,268,282
2012-11-06,Potter,1340,398,1,0,0,129,129
2012-11-06,Roberts,1862,3614,5,4,5,1036,699
2012-11-06,Sanborn,832,661,1,1,0,147,169
2012-11-06,Spink,2030,1732,1,5,1,549,305
2012-11-06,Stanley,1218,545,1,3,0,224,200
2012-11-06,Sully,698,280,0,3,0,84,60
2012-11-06,Tripp,2164,1214,2,6,0,444,293
2012-11-06,Turner,3145,1762,5,4,2,880,349
2012-11-06,Union,4986,3364,6,13,2,2512,1139
2012-11-06,Walworth,2364,999,3,6,0,470,369
2012-11-06,Ziebach,401,941,0,3,7,242,168
2012-11-06,Shannon,583,5930,1,9,87,1168,911
2012-11-06,Todd,787,3496,1,4,14,706,847
