date,county,republican,democratic,libertarian,other,inactive
1996-11-05,Aurora,854,1150,1,90,10
1996-11-05,Beadle,4680,5741,27,1374,561
1996-11-05,Bennett,740,992,0,170,14
1996-11-05,Bon Homme,2432,1966,5,266,194
1996-11-05,Brookings,7928,5747,47,3033,612
1996-11-05,Brown,9546,10763,17,2343,780
1996-11-05,Brule,1341,1960,2,235,4
1996-11-05,Buffalo,192,697,0,54,134
1996-11-05,Butte,3362,1315,18,441,122
1996-11-05,Campbell,1262,214,0,34,0
1996-11-05,Charles Mix,2037,3241,1,351,208
1996-11-05,Clark,1686,1092,0,180,52
1996-11-05,Clay,3719,3943,13,1585,157
1996-11-05,Codington,6487,6551,13,2112,447
1996-11-05,Corson,879,1233,2,224,114
1996-11-05,Custer,2910,1350,15,730,0
1996-11-05,Davison,4758,4704,12,1111,602
1996-11-05,Day,1819,2534,0,333,212
1996-11-05,Deuel,1374,1305,4,380,75
1996-11-05,Dewey,992,2104,0,310,123
1996-11-05,Douglas,1857,535,0,86,72
1996-11-05,Edmunds,1503,1397,0,202,60
1996-11-05,Fall River,2715,1755,10,689,4
1996-11-05,Faulk,959,758,0,72,0
1996-11-05,Grant,2577,2243,0,655,235
1996-11-05,Gregory,1692,1583,1,196,77
1996-11-05,Haakon,1189,432,0,66,0
1996-11-05,Hamlin,2121,1278,1,313,35
1996-11-05,Hand,1579,1269,1,202,55
1996-11-05,Hanson,755,915,1,395,63
1996-11-05,Harding,785,227,0,42,31
1996-11-05,Hughes,6805,2855,10,919,257
1996-11-05,Hutchinson,3931,1335,4,196,186
1996-11-05,Hyde,699,458,1,83,17
1996-11-05,Jackson,966,648,1,135,0
1996-11-05,Jerauld,858,737,1,116,16
1996-11-05,Jones,668,201,1,29,6
1996-11-05,Kingsbury,2371,1356,3,305,69
1996-11-05,Lake,3605,3007,3,522,196
1996-11-05,Lawrence,7812,4325,50,1696,504
1996-11-05,Lincoln,6248,4122,2,1351,331
1996-11-05,Lyman,"1,256",919,2,108,34
1996-11-05,Marshall,"1,213",1600,2,153,78
1996-11-05,McCook,"1,849",1585,2,346,98
1996-11-05,McPherson,"1,729",438,0,141,11
1996-11-05,Meade,"8,251",4303,16,2137,451
1996-11-05,Mellette,675,595,1,81,122
1996-11-05,Miner,742,1066,0,182,48
1996-11-05,Minnehaha,"39,238",35414,169,9484,2890
1996-11-05,Moody,"1,600",1973,1,442,1
1996-11-05,Pennington,"27,308",16360,158,7637,4756
1996-11-05,Perkins,"1,372",837,3,148,234
1996-11-05,Potter,"1,540",615,1,109,54
1996-11-05,Roberts,"2,047",3500,0,681,0
1996-11-05,Sanborn,"1,003",861,3,92,60
1996-11-05,Shannon,623,3817,10,773,13
1996-11-05,Spink,"2,237",2370,2,448,120
1996-11-05,Stanley,"1,124",735,0,173,0
1996-11-05,Sully,725,450,0,57,26
1996-11-05,Todd,811,2548,3,639,0
1996-11-05,Tripp,"2,380",1618,0,280,156
1996-11-05,Turner,3375,1880,3,420,154
1996-11-05,Union,3102,3420,5,1073,197
1996-11-05,Walworth,2690,1205,2,337,0
1996-11-05,Yankton,5899,5251,3,1406,257
1996-11-05,Ziebach,450,864,3,148,56
