date,county,libertarian,republican,democratic,npa_ind,other,inactive
2020-06-02,Aurora,1,821,683,267,2,100
2020-06-02,Beadle,16,4315,3122,2205,43,478
2020-06-02,Bennett,2,702,767,341,1,194
2020-06-02,Bon Homme,7,2078,1119,615,2,267
2020-06-02,Brookings,71,7890,5171,5418,39,1237
2020-06-02,Brown,65,10514,7927,4363,46,2753
2020-06-02,Brule,7,1473,1096,576,2,194
2020-06-02,Buffalo,1,159,586,137,1,98
2020-06-02,Butte,35,3862,898,1263,15,1254
2020-06-02,Campbell,,885,123,88,,88
2020-06-02,Charles Mix,3,2388,2078,816,2,466
2020-06-02,Clark,2,1396,658,351,8,164
2020-06-02,Clay,34,2450,2852,2137,13,764
2020-06-02,Codington,31,8343,4508,3732,33,1296
2020-06-02,Corson,8,662,1136,475,6,208
2020-06-02,Custer,23,3944,1102,1449,31,1034
2020-06-02,Davison,21,5565,3119,2557,34,1307
2020-06-02,Day,7,1566,1614,655,9,213
2020-06-02,Deuel,7,1394,780,688,6,159
2020-06-02,Dewey,3,713,1989,580,7,208
2020-06-02,Douglas,1,1596,288,208,,58
2020-06-02,Edmunds,6,1498,714,383,6,167
2020-06-02,Fall River,25,3006,898,1159,39,659
2020-06-02,Faulk,,1041,248,230,1,66
2020-06-02,Grant,7,2333,1318,948,11,314
2020-06-02,Gregory,5,1632,843,368,,88
2020-06-02,Haakon,3,1054,156,136,2,67
2020-06-02,Hamlin,3,2557,663,542,2,226
2020-06-02,Hand,2,1457,559,240,2,162
2020-06-02,Hanson,4,1663,763,754,8,649
2020-06-02,Harding,3,773,95,85,,59
2020-06-02,Hughes,43,7059,2366,1943,24,530
2020-06-02,Hutchinson,3,3304,961,760,9,30
2020-06-02,Hyde,,667,183,103,3,14
2020-06-02,Jackson,8,848,643,305,11,105
2020-06-02,Jerauld,7,626,417,178,2,64
2020-06-02,Jones,1,512,87,92,,28
2020-06-02,Kingsbury,6,2024,883,598,2,226
2020-06-02,Lake,25,4176,2461,1947,9,1423
2020-06-02,Lawrence,97,9261,3630,4077,35,2457
2020-06-02,Lincoln,123,18976,9113,9841,63,4124
2020-06-02,Lyman,5,1106,768,288,1,68
2020-06-02,Marshall,8,1083,1108,521,5,240
2020-06-02,McCook,11,1862,990,722,7,187
2020-06-02,McPherson,8,1243,242,226,1,165
2020-06-02,Meade,92,10298,3043,3892,40,837
2020-06-02,Mellette,3,499,465,171,1,47
2020-06-02,Miner,2,642,562,318,2,85
2020-06-02,Minnehaha,497,48097,35675,33250,306,18035
2020-06-02,Moody,7,1553,1531,973,4,398
2020-06-02,Oglala Lakota,13,499,5246,1841,55,942
2020-06-02,Pennington,431,36934,16929,21024,254,8993
2020-06-02,Perkins,6,1414,350,326,8,138
2020-06-02,Potter,1,1277,260,146,3,160
2020-06-02,Roberts,9,1960,2932,1319,24,274
2020-06-02,Sanborn,3,846,435,226,4,89
2020-06-02,Spink,5,2170,1276,625,5,155
2020-06-02,Stanley,2,1380,397,260,4,183
2020-06-02,Sully,2,741,196,125,3,76
2020-06-02,Todd,4,673,2862,933,11,911
2020-06-02,Tripp,5,2219,802,549,8,403
2020-06-02,Turner,12,3125,1351,1133,13,197
2020-06-02,Union,27,5597,2704,3369,18,1614
2020-06-02,Walworth,7,2467,780,503,7,278
2020-06-02,Yankton,56,6339,3940,3526,19,1429
2020-06-02,Ziebach,5,391,850,311,4,123
