county,libertarian,republican,democratic,npa_ind,other,inactive
Aurora,1,862,666,276,2,92
Beadle,19,4561,3073,2325,41,398
Bennett,3,717,776,374,2,165
Bon Homme,11,2198,1081,666,2,245
Brookings,89,8494,5363,5847,43,1131
Brown,84,11164,7976,4754,50,2478
Brule,7,1587,1083,590,5,177
Buffalo,1,165,609,150,2,87
Butte,49,4151,920,1345,15,1171
Campbell,,916,120,94,,81
Charles Mix,6,2478,2095,845,4,401
Clark,2,1464,652,371,14,142
Clay,39,2635,3015,2348,17,717
Codington,48,9043,4480,3978,30,1154
Corson,8,697,1159,525,5,198
Custer,25,4259,1151,1560,31,959
Davison,26,5961,3132,2700,31,1209
Day,9,1646,1555,671,10,195
Deuel,8,1519,762,700,8,149
Dewey,3,754,2045,666,8,183
Douglas,1,1644,276,205,,52
Edmunds,6,1584,682,415,3,149
Fall River,29,3266,939,1228,38,619
Faulk,,1054,238,232,1,61
Grant,8,2490,1294,982,12,295
Gregory,5,1715,807,368,,84
Haakon,3,1110,151,131,1,65
Hamlin,6,2650,655,565,2,209
Hand,3,1527,528,241,4,140
Hanson,6,1819,757,823,9,635
Harding,4,806,85,90,,58
Hughes,50,7238,2403,2121,23,486
Hutchinson,6,3397,947,775,9,22
Hyde,,672,186,108,2,13
Jackson,9,883,680,319,9,96
Jerauld,6,640,405,188,2,56
Jones,1,530,86,88,1,23
Kingsbury,7,2109,884,614,3,213
Lake,31,4248,2393,1878,8,1348
Lawrence,127,9991,3809,4411,43,2293
Lincoln,168,20894,9778,10718,64,3828
Lyman,7,1138,785,318,1,61
Marshall,7,1162,1108,538,4,224
McCook,13,1999,975,773,8,161
McPherson,8,1292,245,236,2,154
Meade,116,11239,3154,4236,39,764
Mellette,3,510,454,183,1,39
Miner,4,685,556,330,3,73
Minnehaha,567,51647,37427,35752,334,16657
Moody,11,1636,1521,1016,3,346
Oglala Lakota,18,526,5478,1958,54,841
Pennington,547,40008,18049,22607,257,8409
Perkins,5,1460,327,340,6,131
Potter,1,1321,253,165,4,146
Roberts,10,2075,2932,1378,26,257
Sanborn,5,889,427,240,4,82
Spink,6,2268,1273,642,7,127
Stanley,2,1429,405,281,10,168
Sully,2,778,199,133,3,69
Todd,6,709,2982,973,7,821
Tripp,7,2293,780,559,11,365
Turner,11,3277,1334,1176,14,173
Union,33,5970,2719,3624,17,1540
Walworth,8,2523,786,519,6,252
Yankton,61,6692,3962,3786,16,1316
Ziebach,6,409,861,373,3,114
