date,county,republican,democratic,other
1988-10-24,Aurora,880,1273,101
1988-10-24,Beadle,4874,6235,1109
1988-10-24,Bennett,895,1067,113
1988-10-24,Bon Homme,2438,2165,190
1988-10-24,Brookings,7336,5230,2186
1988-10-24,Brown,9844,11555,1755
1988-10-24,Brule,1237,2034,177
1988-10-24,Buffalo,244,692,52
1988-10-24,Butte,3426,1178,188
1988-10-24,Campbell,1389,226,29
1988-10-24,Charles Mix,2015,3524,244
1988-10-24,Clark,1733,1254,145
1988-10-24,Clay,3274,3603,939
1988-10-24,Codington,5695,5950,1523
1988-10-24,Corson,1035,1390,163
1988-10-24,Custer,2354,1381,484
1988-10-24,Davison,4898,5516,1061
1988-10-24,Day,2076,2761,222
1988-10-24,Deuel,1576,1447,342
1988-10-24,Dewey,1101,1736,235
1988-10-24,Douglas,1949,648,78
1988-10-24,Edmunds,1610,1500,166
1988-10-24,Fall River,2749,1846,487
1988-10-24,Faulk,1015,880,68
1988-10-24,Grant,2646,2322,507
1988-10-24,Gregory,1813,1919,131
1988-10-24,Haakon,1189,478,55
1988-10-24,Hamlin,1854,1211,244
1988-10-24,Hand,1796,1421,251
1988-10-24,Hanson,814,965,322
1988-10-24,Harding,787,320,57
1988-10-24,Hughes,6043,3249,954
1988-10-24,Hutchinson,4303,1492,152
1988-10-24,Hyde,672,617,76
1988-10-24,Jackson,997,641,69
1988-10-24,Jerauld,942,851,101
1988-10-24,Jones,647,330,27
1988-10-24,Kingsbury,2530,1392,221
1988-10-24,Lake,3532,3040,403
1988-10-24,Lawrence,7194,4262,1114
1988-10-24,Lincoln,4706,3582,780
1988-10-24,Lyman,1313,897,79
1988-10-24,Marshall,1407,1795,96
1988-10-24,McCook,1996,1721,309
1988-10-24,McPherson,2061,480,76
1988-10-24,Meade,6857,4306,1114
1988-10-24,Mellette,707,614,74
1988-10-24,Miner,828,1331,166
1988-10-24,Minnehaha,36524,36479,6334
1988-10-24,Moody,1601,2091,372
1988-10-24,Pennington,25982,16721,4606
1988-10-24,Perkins,1670,1101,145
1988-10-24,Potter,1653,711,75
1988-10-24,Roberts,2067,3510,511
1988-10-24,Sanborn,1022,974,115
1988-10-24,Shannon,679,3073,328
1988-10-24,Spink,2265,2651,415
1988-10-24,Stanley,918,755,142
1988-10-24,Sully,778,496,45
1988-10-24,Todd,779,2187,263
1988-10-24,Tripp,2420,1794,264
1988-10-24,Turner,3757,1869,351
1988-10-24,Union,2315,3279,585
1988-10-24,Walworth,2572,1245,223
1988-10-24,Yankton,5698,4720,915
1988-10-24,Ziebach,533,569,115
