date,county,republican,libertarian,democratic,constitution,other,npa_ind,inactive
2018-04-03,Aurora,788,1,764,,3,254,93
2018-04-03,Beadle,4268,20,3372,5,39,2124,952
2018-04-03,Bennett,659,2,813,,2,315,210
2018-04-03,Bon Homme,1927,11,1298,2,,637,315
2018-04-03,Brookings,7385,70,5108,21,23,5149,1754
2018-04-03,Brown,9957,61,8270,7,41,4192,2458
2018-04-03,Brule,1417,10,1210,5,2,534,235
2018-04-03,Buffalo,167,1,620,,2,110,82
2018-04-03,Butte,3782,31,982,8,5,1265,986
2018-04-03,Campbell,879,,123,,,88,129
2018-04-03,Charles Mix,2289,3,2358,2,,841,440
2018-04-03,Clark,1345,3,736,3,2,364,206
2018-04-03,Clay,2372,33,2841,3,7,2102,934
2018-04-03,Codington,7590,27,4874,14,26,3736,1776
2018-04-03,Corson,639,7,1170,2,6,422,262
2018-04-03,Custer,3694,20,1145,6,20,1392,826
2018-04-03,Davison,5225,19,3291,3,27,2385,1204
2018-04-03,Day,1487,9,1803,2,12,661,287
2018-04-03,Deuel,1275,9,844,7,1,679,295
2018-04-03,Dewey,705,3,2010,1,5,552,205
2018-04-03,Douglas,1532,2,323,,,193,159
2018-04-03,Edmunds,1459,8,801,,5,400,194
2018-04-03,Fall River,2823,24,939,2,21,1188,616
2018-04-03,Faulk,917,,347,1,,296,95
2018-04-03,Grant,2253,8,1435,2,12,924,559
2018-04-03,Gregory,1481,4,925,2,,314,134
2018-04-03,Haakon,1039,1,187,1,,133,39
2018-04-03,Hamlin,2381,2,744,1,2,574,276
2018-04-03,Hand,1419,3,643,1,1,268,129
2018-04-03,Hanson,1559,3,785,3,2,663,569
2018-04-03,Harding,743,,102,,,80,70
2018-04-03,Hughes,6775,32,2316,4,13,1828,845
2018-04-03,Hutchinson,3216,4,1035,7,4,689,184
2018-04-03,Hyde,650,,212,,3,102,95
2018-04-03,Jackson,811,3,640,1,14,295,147
2018-04-03,Jerauld,626,2,476,2,,187,44
2018-04-03,Jones,504,1,89,,,81,38
2018-04-03,Kingsbury,1827,8,965,1,1,587,221
2018-04-03,Lake,4553,33,2903,2,4,2309,1071
2018-04-03,Lawrence,8748,93,3615,11,18,3820,2149
2018-04-03,Lincoln,17334,96,8557,30,27,8886,3129
2018-04-03,Lyman,1101,4,826,1,1,263,150
2018-04-03,Marshall,1059,9,1199,,1,490,215
2018-04-03,McCook,1754,15,1081,7,,696,243
2018-04-03,McPherson,1247,4,272,,1,219,124
2018-04-03,Meade,9515,80,3033,29,6,3691,1589
2018-04-03,Mellette,472,1,469,1,,136,133
2018-04-03,Miner,585,2,620,1,1,274,78
2018-04-03,Minnehaha,45162,412,35535,124,155,29753,15386
2018-04-03,Moody,1489,6,1597,4,4,926,326
2018-04-03,Oglala Lakota,520,10,5350,2,49,1772,913
2018-04-03,Pennington,33449,365,15885,86,139,18476,8076
2018-04-03,Perkins,1386,6,406,3,5,329,172
2018-04-03,Potter,1287,1,287,2,2,151,108
2018-04-03,Roberts,1862,7,3110,4,17,1273,666
2018-04-03,Sanborn,822,3,489,1,3,217,81
2018-04-03,Spink,1992,5,1420,,5,656,347
2018-04-03,Stanley,1309,3,452,2,,286,141
2018-04-03,Sully,742,,218,,1,112,55
2018-04-03,Todd,667,5,2922,3,7,838,745
2018-04-03,Tripp,2188,3,916,7,1,535,323
2018-04-03,Turner,3026,8,1436,2,9,1082,341
2018-04-03,Union,5219,25,2687,10,12,3055,1438
2018-04-03,Walworth,2403,6,779,4,1,468,319
2018-04-03,Yankton,5893,52,4123,5,14,3234,1207
2018-04-03,Ziebach,399,4,847,,4,278,130
