date,county,republican,libertarian,democratic,npa_ind,other,inactive
2022-04-01,Aurora,884,1,615,283,2,103
2022-04-01,Beadle,4569,22,2865,2304,39,656
2022-04-01,Bennett,703,3,728,366,2,197
2022-04-01,Bon Homme,2176,11,993,663,3,316
2022-04-01,Brookings,8611,91,5158,5839,34,1513
2022-04-01,Brown,11413,93,7754,4871,49,1917
2022-04-01,Brule,1592,9,1004,580,5,126
2022-04-01,Buffalo,164,1,594,156,3,78
2022-04-01,Butte,4159,50,862,1363,17,1319
2022-04-01,Campbell,902,,107,98,,100
2022-04-01,Charles Mix,2513,8,1969,831,5,425
2022-04-01,Clark,1492,4,609,375,14,179
2022-04-01,Clay,2702,39,2932,2333,18,767
2022-04-01,Codington,9099,54,4237,3918,30,1636
2022-04-01,Corson,708,5,1070,498,3,236
2022-04-01,Custer,4395,32,1127,1617,31,1145
2022-04-01,Davison,6001,27,2968,2704,33,1296
2022-04-01,Day,1723,11,1453,703,16,161
2022-04-01,Deuel,1560,9,706,692,7,188
2022-04-01,Dewey,740,3,1927,642,8,202
2022-04-01,Douglas,1625,,259,207,,68
2022-04-01,Edmunds,1608,6,613,396,3,197
2022-04-01,Fall River,3434,33,908,1321,33,615
2022-04-01,Faulk,1055,,214,231,2,60
2022-04-01,Grant,2498,14,1195,969,11,390
2022-04-01,Gregory,1674,3,714,367,,181
2022-04-01,Haakon,1088,3,141,129,1,63
2022-04-01,Hamlin,2763,6,632,586,1,162
2022-04-01,Hand,1497,7,484,233,4,127
2022-04-01,Hanson,1725,5,693,790,11,556
2022-04-01,Harding,795,4,76,91,,63
2022-04-01,Hughes,7039,51,2270,2081,20,893
2022-04-01,Hutchinson,3224,9,810,735,6,207
2022-04-01,Hyde,647,,175,111,3,28
2022-04-01,Jackson,838,9,641,316,9,79
2022-04-01,Jerauld,636,6,388,185,2,67
2022-04-01,Jones,513,1,78,79,1,34
2022-04-01,Kingsbury,2124,5,796,607,3,319
2022-04-01,Lake,4003,29,2149,1640,8,1883
2022-04-01,Lawrence,10326,141,3700,4663,44,2242
2022-04-01,Lincoln,21354,198,9646,10971,66,4730
2022-04-01,Lyman,1120,7,748,320,1,67
2022-04-01,Marshall,1161,6,1048,528,3,229
2022-04-01,McCook,2042,13,894,757,8,140
2022-04-01,McPherson,1245,8,230,221,2,210
2022-04-01,Meade,11483,126,3076,4477,36,848
2022-04-01,Mellette,498,3,424,188,1,78
2022-04-01,Miner,688,4,498,310,4,87
2022-04-01,Minnehaha,52490,640,36473,36550,322,17435
2022-04-01,Moody,1650,11,1408,1002,4,362
2022-04-01,Oglala Lakota,518,19,5359,1958,47,851
2022-04-01,Pennington,41149,614,17617,23015,268,10035
2022-04-01,Perkins,1459,5,298,324,6,200
2022-04-01,Potter,1307,3,228,159,4,144
2022-04-01,Roberts,2049,12,2712,1371,23,420
2022-04-01,Sanborn,900,5,389,254,4,103
2022-04-01,Spink,2270,10,1192,628,8,220
2022-04-01,Stanley,1401,4,385,286,12,227
2022-04-01,Sully,772,4,193,134,3,63
2022-04-01,Todd,678,6,2849,960,8,874
2022-04-01,Tripp,2271,8,698,557,9,449
2022-04-01,Turner,3296,10,1243,1163,17,209
2022-04-01,Union,5813,34,2513,3579,13,2121
2022-04-01,Walworth,2365,9,666,470,8,542
2022-04-01,Yankton,6658,70,3787,3717,15,1620
2022-04-01,Ziebach,400,7,796,373,3,120
