date,county,libertarian,republican,democratic,npa_ind,other,inactive
2018-11-20,Aurora,1,798,736,270,4,86
2018-11-20,Beadle,16,4326,3286,2153,44,1030
2018-11-20,Bennett,2,688,816,339,2,211
2018-11-20,Bon Homme,11,2077,1244,615,2,295
2018-11-20,Brookings,70,7738,5220,5337,49,1687
2018-11-20,Brown,61,10450,8252,4311,50,2318
2018-11-20,Brule,10,1469,1188,573,7,211
2018-11-20,Buffalo,1,169,626,138,1,75
2018-11-20,Butte,31,3916,980,1309,15,940
2018-11-20,Campbell,,908,120,84,,119
2018-11-20,Charles Mix,3,2370,2416,887,2,409
2018-11-20,Clark,3,1399,717,372,5,191
2018-11-20,Clay,36,2452,2943,2249,13,888
2018-11-20,Codington,30,8221,4748,3715,37,1645
2018-11-20,Corson,8,652,1195,469,9,245
2018-11-20,Custer,23,3920,1156,1437,31,794
2018-11-20,Davison,20,5467,3276,2514,31,1143
2018-11-20,Day,10,1554,1751,662,14,269
2018-11-20,Deuel,9,1350,816,690,7,274
2018-11-20,Dewey,3,731,2090,606,8,193
2018-11-20,Douglas,2,1580,316,203,,146
2018-11-20,Edmunds,8,1502,772,408,4,175
2018-11-20,Fall River,23,2981,949,1197,27,599
2018-11-20,Faulk,,1046,278,248,1,88
2018-11-20,Grant,9,2312,1416,942,13,537
2018-11-20,Gregory,5,1558,916,340,2,119
2018-11-20,Haakon,2,1066,177,137,2,37
2018-11-20,Hamlin,2,2537,725,563,2,259
2018-11-20,Hand,3,1453,619,254,2,121
2018-11-20,Hanson,3,1620,806,739,5,556
2018-11-20,Harding,2,772,102,83,,66
2018-11-20,Hughes,42,6989,2383,1880,22,778
2018-11-20,Hutchinson,3,3273,1022,726,10,167
2018-11-20,Hyde,,662,207,104,3,84
2018-11-20,Jackson,6,829,653,300,13,144
2018-11-20,Jerauld,2,626,466,194,1,43
2018-11-20,Jones,1,507,89,90,,34
2018-11-20,Kingsbury,11,1973,922,588,1,205
2018-11-20,Lake,34,4552,2753,2304,9,1040
2018-11-20,Lawrence,101,9135,3719,4021,34,2049
2018-11-20,Lincoln,117,18467,8940,9562,71,2949
2018-11-20,Lyman,6,1127,824,283,1,138
2018-11-20,Marshall,8,1088,1185,507,1,199
2018-11-20,McCook,11,1837,1056,734,7,246
2018-11-20,McPherson,8,1259,269,229,1,115
2018-11-20,Meade,88,10020,3047,3869,39,1523
2018-11-20,Mellette,1,486,486,160,1,132
2018-11-20,Miner,2,629,615,316,3,66
2018-11-20,Minnehaha,449,46879,36198,31911,311,14637
2018-11-20,Moody,6,1515,1591,956,8,353
2018-11-20,Oglala Lakota,11,516,5472,1857,52,857
2018-11-20,Pennington,390,35516,16590,19787,248,7646
2018-11-20,Perkins,5,1388,394,343,8,164
2018-11-20,Potter,1,1321,284,146,4,102
2018-11-20,Roberts,10,1988,3079,1324,21,615
2018-11-20,Sanborn,3,838,474,227,3,78
2018-11-20,Spink,5,2158,1345,634,4,318
2018-11-20,Stanley,2,1369,449,279,2,129
2018-11-20,Sully,,756,212,121,1,50
2018-11-20,Todd,3,689,3008,930,10,694
2018-11-20,Tripp,3,2226,911,549,9,295
2018-11-20,Turner,8,3109,1422,1118,13,297
2018-11-20,Union,24,5476,2734,3212,22,1467
2018-11-20,Walworth,8,2433,765,485,7,301
2018-11-20,Yankton,57,6264,4080,3408,19,1137
2018-11-20,Ziebach,5,398,892,317,4,136
