date,county,democratic,libertarian,republican,independent,other,npa,no_labels,inactive
2025-08-01,Aurora,505,2,1002,232,2,99,1,42
2025-08-01,Beadle,2466,27,5228,1376,43,1207,1,427
2025-08-01,Bennett,667,8,728,190,2,201,,109
2025-08-01,Bon Homme,874,11,2435,492,,237,,162
2025-08-01,Brookings,5113,108,10168,3662,21,2882,1,836
2025-08-01,Brown,7110,103,13062,3590,12,2018,3,394
2025-08-01,Brule,879,12,1781,459,4,224,,85
2025-08-01,Buffalo,530,2,156,79,4,101,,54
2025-08-01,Butte,756,55,4664,878,21,668,,868
2025-08-01,Campbell,103,1,906,75,,50,,44
2025-08-01,Charles Mix,1759,9,2739,593,,365,1,295
2025-08-01,Clark,525,4,1662,263,,177,,88
2025-08-01,Clay,2901,37,3086,1466,14,1155,5,568
2025-08-01,Codington,3819,60,10667,2630,24,2076,,1073
2025-08-01,Corson,961,5,762,283,3,310,,121
2025-08-01,Custer,1044,37,5227,1141,25,699,1,508
2025-08-01,Davison,2756,32,6964,1917,32,1540,4,500
2025-08-01,Day,1228,12,1933,582,1,172,,105
2025-08-01,Deuel,577,10,1790,492,,304,1,40
2025-08-01,Dewey,1788,4,783,435,3,429,,134
2025-08-01,Douglas,202,1,1670,140,,105,,43
2025-08-01,Edmunds,502,7,1796,247,2,208,,61
2025-08-01,Fall River,885,40,4019,897,2,729,1,285
2025-08-01,Faulk,181,,1116,219,,42,,42
2025-08-01,Grant,1027,19,2753,715,10,388,,156
2025-08-01,Gregory,604,4,1877,347,,89,,86
2025-08-01,Haakon,110,2,1170,80,2,32,3,28
2025-08-01,Hamlin,537,7,3092,384,1,287,,121
2025-08-01,Hand,369,9,1644,185,4,50,,56
2025-08-01,Hanson,584,6,1917,499,7,390,,131
2025-08-01,Harding,61,6,839,74,1,45,,14
2025-08-01,Hughes,2152,50,7403,1424,19,999,,550
2025-08-01,Hutchinson,701,15,3451,534,8,344,,90
2025-08-01,Hyde,150,1,659,97,,32,,16
2025-08-01,Jackson,580,6,919,172,1,176,,77
2025-08-01,Jerauld,323,6,735,130,1,79,,33
2025-08-01,Jones,64,1,519,59,,27,1,39
2025-08-01,Kingsbury,650,8,2328,394,3,338,,122
2025-08-01,Lake,1894,25,4394,970,5,632,2,1203
2025-08-01,Lawrence,3983,181,12482,3353,44,2880,7,1057
2025-08-01,Lincoln,10218,228,26219,7930,82,5505,13,2619
2025-08-01,Lyman,644,4,1172,217,1,175,,45
2025-08-01,Marshall,941,2,1324,382,2,182,,61
2025-08-01,McCook,792,8,2408,516,4,271,,83
2025-08-01,McPherson,177,8,1315,123,1,71,,39
2025-08-01,Meade,2802,157,13185,2876,27,2195,3,641
2025-08-01,Mellette,415,,503,196,,70,,47
2025-08-01,Miner,419,5,858,227,1,115,,33
2025-08-01,Minnehaha,36186,745,60032,22872,244,19259,15,8446
2025-08-01,Moody,1287,16,1994,702,4,437,2,53
2025-08-01,Oglala Lakota,5264,18,605,991,1,1266,,393
2025-08-01,Pennington,18066,679,47383,13428,220,12345,28,5314
2025-08-01,Perkins,254,4,1580,193,4,163,,102
2025-08-01,Potter,182,1,1352,112,5,47,1,138
2025-08-01,Roberts,2374,9,2290,950,18,650,,234
2025-08-01,Sanborn,351,7,1014,164,,126,1,30
2025-08-01,Spink,972,8,2575,459,3,240,,98
2025-08-01,Stanley,330,7,1596,199,,123,,118
2025-08-01,Sully,158,5,846,111,,39,,44
2025-08-01,Todd,2743,7,680,601,5,582,,402
2025-08-01,Tripp,552,5,2463,349,6,227,,209
2025-08-01,Turner,1115,15,3691,898,2,385,,115
2025-08-01,Union,2297,43,6684,2200,9,1502,2,1087
2025-08-01,Walworth,574,11,2493,338,11,292,,215
2025-08-01,Yankton,3422,59,7563,2544,18,1362,1,781
2025-08-01,Ziebach,733,5,429,176,1,253,,49
