date,county,republican,libertarian,democratic,npa_ind,other,inactive
2022-01-03,Aurora,870,3,623,279,2,104
2022-01-03,Beadle,4521,22,2904,2283,39,659
2022-01-03,Bennett,699,3,729,365,2,202
2022-01-03,Bon Homme,2157,11,1000,662,3,325
2022-01-03,Brookings,8493,92,5187,5813,37,1513
2022-01-03,Brown,11312,90,7830,4857,51,1928
2022-01-03,Brule,1585,8,1016,577,5,124
2022-01-03,Buffalo,162,1,600,155,2,78
2022-01-03,Butte,4107,49,871,1346,16,1324
2022-01-03,Campbell,903,,111,96,,102
2022-01-03,Charles Mix,2499,8,1997,819,5,429
2022-01-03,Clark,1479,4,617,371,14,182
2022-01-03,Clay,2666,38,2933,2341,18,765
2022-01-03,Codington,9005,53,4268,3908,29,1648
2022-01-03,Corson,701,5,1086,499,4,241
2022-01-03,Custer,4319,33,1129,1599,31,1147
2022-01-03,Davison,5952,26,2993,2692,32,1306
2022-01-03,Day,1703,11,1479,695,16,164
2022-01-03,Deuel,1537,9,717,686,8,192
2022-01-03,Dewey,732,3,1939,652,9,201
2022-01-03,Douglas,1631,,265,205,,70
2022-01-03,Edmunds,1579,6,633,399,3,202
2022-01-03,Fall River,3372,33,921,1300,34,613
2022-01-03,Faulk,1051,,215,234,2,60
2022-01-03,Grant,2491,14,1209,974,11,397
2022-01-03,Gregory,1666,3,730,369,,182
2022-01-03,Haakon,1084,3,143,130,1,64
2022-01-03,Hamlin,2721,7,640,590,1,165
2022-01-03,Hand,1488,6,499,231,4,131
2022-01-03,Hanson,1712,5,703,792,11,557
2022-01-03,Harding,790,4,78,89,,63
2022-01-03,Hughes,7043,52,2277,2074,20,895
2022-01-03,Hutchinson,3188,8,820,730,6,210
2022-01-03,Hyde,651,,176,109,3,28
2022-01-03,Jackson,838,8,642,313,9,80
2022-01-03,Jerauld,624,6,390,182,2,67
2022-01-03,Jones,520,1,80,79,1,36
2022-01-03,Kingsbury,2081,5,811,607,3,325
2022-01-03,Lake,3963,28,2168,1625,8,1890
2022-01-03,Lawrence,10180,138,3698,4587,43,2259
2022-01-03,Lincoln,21074,187,9626,10849,65,4759
2022-01-03,Lyman,1111,7,751,312,1,76
2022-01-03,Marshall,1161,6,1056,527,3,236
2022-01-03,McCook,2010,12,920,751,9,139
2022-01-03,McPherson,1238,8,229,222,2,211
2022-01-03,Meade,11343,128,3089,4448,36,846
2022-01-03,Mellette,498,3,428,186,1,79
2022-01-03,Miner,677,4,509,321,4,88
2022-01-03,Minnehaha,51992,639,36450,36201,325,17495
2022-01-03,Moody,1635,12,1432,1003,4,364
2022-01-03,Oglala Lakota,519,18,5372,1954,48,856
2022-01-03,Pennington,40689,603,17590,22894,265,10049
2022-01-03,Perkins,1445,4,302,318,6,200
2022-01-03,Potter,1300,2,232,165,4,148
2022-01-03,Roberts,2042,12,2744,1365,23,425
2022-01-03,Sanborn,882,5,395,255,4,107
2022-01-03,Spink,2248,10,1214,614,7,224
2022-01-03,Stanley,1373,4,390,286,12,231
2022-01-03,Sully,772,3,193,135,3,67
2022-01-03,Todd,679,6,2860,945,10,884
2022-01-03,Tripp,2255,8,713,546,9,457
2022-01-03,Turner,3256,10,1258,1155,17,212
2022-01-03,Union,5735,33,2530,3558,13,2128
2022-01-03,Walworth,2349,8,674,471,7,545
2022-01-03,Yankton,6580,70,3815,3708,14,1633
2022-01-03,Ziebach,393,7,810,371,3,123
