date,county,republican,libertarian,democratic,constitution,other,npa_ind,inactive
2018-06-05,Aurora,795,1,757,,3,256,91
2018-06-05,Beadle,4305,18,3353,5,43,2142,941
2018-06-05,Bennett,666,2,821,,2,320,206
2018-06-05,Bon Homme,2033,11,1246,2,,618,311
2018-06-05,Brookings,7454,72,5114,21,23,5161,1745
2018-06-05,Brown,10183,60,8143,7,40,4159,2441
2018-06-05,Brule,1437,9,1205,5,2,543,233
2018-06-05,Buffalo,167,1,619,,1,113,82
2018-06-05,Butte,3811,31,973,8,5,1276,976
2018-06-05,Campbell,892,,122,,,85,121
2018-06-05,Charles Mix,2309,3,2347,2,,852,436
2018-06-05,Clark,1362,3,727,3,2,367,202
2018-06-05,Clay,2375,34,2833,3,8,2120,921
2018-06-05,Codington,8033,28,4666,13,25,3612,1753
2018-06-05,Corson,641,7,1175,2,7,428,260
2018-06-05,Custer,3754,20,1128,6,19,1381,824
2018-06-05,Davison,5297,18,3274,3,27,2409,1198
2018-06-05,Day,1503,9,1783,2,12,660,282
2018-06-05,Deuel,1309,9,823,7,1,679,291
2018-06-05,Dewey,709,3,2003,1,5,554,202
2018-06-05,Douglas,1554,2,317,,,193,155
2018-06-05,Edmunds,1471,9,792,,5,398,192
2018-06-05,Fall River,2886,22,939,2,21,1173,612
2018-06-05,Faulk,1060,,266,1,,244,93
2018-06-05,Grant,2268,8,1422,2,11,927,556
2018-06-05,Gregory,1490,5,920,2,,313,131
2018-06-05,Haakon,1050,1,185,1,,135,39
2018-06-05,Hamlin,2492,2,717,1,2,563,269
2018-06-05,Hand,1442,3,631,1,1,259,129
2018-06-05,Hanson,1577,3,784,3,2,693,567
2018-06-05,Harding,754,,102,,,80,68
2018-06-05,Hughes,6872,34,2299,4,11,1804,841
2018-06-05,Hutchinson,3240,3,1030,7,4,688,181
2018-06-05,Hyde,647,,210,,3,102,90
2018-06-05,Jackson,810,3,632,1,13,300,156
2018-06-05,Jerauld,641,3,465,1,,184,43
2018-06-05,Jones,514,1,91,,,81,37
2018-06-05,Kingsbury,1949,9,910,1,1,565,217
2018-06-05,Lake,4636,33,2875,2,4,2345,1067
2018-06-05,Lawrence,8811,95,3604,12,17,3851,2137
2018-06-05,Lincoln,17541,97,8593,35,30,9014,3076
2018-06-05,Lyman,1106,5,822,,1,261,147
2018-06-05,Marshall,1063,9,1194,,1,489,215
2018-06-05,McCook,1785,15,1065,6,,702,237
2018-06-05,McPherson,1253,8,271,,1,222,122
2018-06-05,Meade,9666,82,2977,28,6,3718,1580
2018-06-05,Mellette,475,1,472,1,,138,133
2018-06-05,Miner,589,2,616,1,1,280,76
2018-06-05,Minnehaha,45485,421,35476,129,155,30224,15207
2018-06-05,Moody,1495,6,1596,4,4,933,320
2018-06-05,Oglala Lakota,523,10,5355,2,48,1791,900
2018-06-05,Pennington,34035,362,15845,88,143,18638,7996
2018-06-05,Perkins,1390,6,400,3,5,336,170
2018-06-05,Potter,1299,1,279,2,2,151,107
2018-06-05,Roberts,1919,6,3071,4,17,1270,656
2018-06-05,Sanborn,827,3,487,1,3,221,81
2018-06-05,Spink,2151,5,1335,,4,607,341
2018-06-05,Stanley,1321,2,444,2,,280,140
2018-06-05,Sully,756,,211,,1,112,53
2018-06-05,Todd,673,6,2903,3,7,857,742
2018-06-05,Tripp,2198,4,904,7,1,537,316
2018-06-05,Turner,3028,7,1425,2,11,1085,320
2018-06-05,Union,5287,24,2678,12,12,3072,1425
2018-06-05,Walworth,2405,7,776,4,1,477,317
2018-06-05,Yankton,6115,51,4020,5,14,3239,1191
2018-06-05,Ziebach,402,4,836,,3,283,146
