date,county,libertarian,republican,democratic,npa_ind,other,inactive
2020-02-03,Aurora,1,806,700,270,2,107
2020-02-03,Beadle,15,4298,3135,2198,39,487
2020-02-03,Bennett,2,682,778,326,1,198
2020-02-03,Bon Homme,7,2065,1153,605,2,269
2020-02-03,Brookings,71,7797,5120,5376,42,1253
2020-02-03,Brown,62,10433,7947,4331,46,2789
2020-02-03,Brule,8,1460,1114,565,5,202
2020-02-03,Buffalo,1,158,586,137,1,100
2020-02-03,Butte,34,3845,897,1265,16,1269
2020-02-03,Campbell,,890,124,81,,89
2020-02-03,Charles Mix,3,2309,2121,821,2,480
2020-02-03,Clark,2,1385,669,348,8,172
2020-02-03,Clay,32,2410,2836,2131,14,784
2020-02-03,Codington,31,8252,4562,3717,34,1321
2020-02-03,Corson,8,644,1146,474,7,215
2020-02-03,Custer,22,3892,1101,1468,32,1041
2020-02-03,Davison,21,5486,3126,2548,34,1328
2020-02-03,Day,6,1541,1633,644,11,219
2020-02-03,Deuel,9,1390,795,696,6,153
2020-02-03,Dewey,4,708,1984,580,8,213
2020-02-03,Douglas,1,1581,295,210,,59
2020-02-03,Edmunds,6,1479,732,377,5,171
2020-02-03,Fall River,25,2976,888,1187,36,668
2020-02-03,Faulk,,1032,256,230,,69
2020-02-03,Grant,9,2313,1326,946,11,321
2020-02-03,Gregory,5,1581,878,362,2,84
2020-02-03,Haakon,3,1037,162,134,2,69
2020-02-03,Hamlin,3,2536,670,544,2,237
2020-02-03,Hand,2,1430,577,242,2,173
2020-02-03,Hanson,2,1635,769,759,8,658
2020-02-03,Harding,3,769,98,89,,61
2020-02-03,Hughes,42,7027,2373,1945,24,534
2020-02-03,Hutchinson,3,3285,970,756,9,32
2020-02-03,Hyde,,654,187,105,3,17
2020-02-03,Jackson,6,825,639,309,12,111
2020-02-03,Jerauld,6,609,430,176,2,66
2020-02-03,Jones,1,502,89,94,,29
2020-02-03,Kingsbury,8,2005,888,589,2,228
2020-02-03,Lake,25,4207,2492,1982,9,1440
2020-02-03,Lawrence,97,9155,3634,4075,36,2487
2020-02-03,Lincoln,123,18658,9009,9801,63,4188
2020-02-03,Lyman,5,1109,774,283,1,71
2020-02-03,Marshall,8,1082,1114,519,4,243
2020-02-03,McCook,11,1841,1008,724,5,193
2020-02-03,McPherson,8,1229,243,226,1,170
2020-02-03,Meade,92,10102,3003,3895,40,852
2020-02-03,Mellette,1,484,468,172,1,48
2020-02-03,Miner,2,635,567,319,2,91
2020-02-03,Minnehaha,475,47496,35358,32831,298,18364
2020-02-03,Moody,7,1511,1541,965,4,407
2020-02-03,Oglala Lakota,13,492,5233,1845,56,944
2020-02-03,Pennington,433,36342,16751,20889,259,9082
2020-02-03,Perkins,5,1402,361,336,8,141
2020-02-03,Potter,1,1287,254,144,3,162
2020-02-03,Roberts,9,1990,2897,1294,20,278
2020-02-03,Sanborn,3,838,441,227,3,93
2020-02-03,Spink,5,2140,1286,623,4,161
2020-02-03,Stanley,2,1353,414,270,3,187
2020-02-03,Sully,2,729,203,125,3,77
2020-02-03,Todd,4,660,2854,910,9,932
2020-02-03,Tripp,4,2169,828,547,7,415
2020-02-03,Turner,11,3088,1362,1127,13,203
2020-02-03,Union,26,5547,2705,3334,17,1632
2020-02-03,Walworth,7,2446,785,500,8,283
2020-02-03,Yankton,55,6273,3967,3495,18,1462
2020-02-03,Ziebach,5,385,856,307,4,126
