date,county,democratic,libertarian,republican,independent,other,npa,no_labels,inactive
2024-01-02,Aurora,535,4,951,226,2,90,,113
2024-01-02,Beadle,2608,25,4863,1363,34,1043,1,713
2024-01-02,Bennett,728,5,713,218,2,206,,128
2024-01-02,Bon Homme,924,11,2248,471,,194,,304
2024-01-02,Brookings,4972,98,9229,3518,24,2489,,1646
2024-01-02,Brown,7398,95,12179,3523,12,1685,2,1174
2024-01-02,Brule,918,15,1657,443,2,191,,180
2024-01-02,Buffalo,573,2,164,73,3,92,,57
2024-01-02,Butte,787,56,4370,888,14,580,,1376
2024-01-02,Campbell,103,1,906,77,,32,,84
2024-01-02,Charles Mix,1785,10,2585,556,,317,,478
2024-01-02,Clark,572,4,1575,263,,125,,152
2024-01-02,Clay,2820,36,2824,1309,11,1008,,1273
2024-01-02,Codington,3947,60,9676,2552,23,1422,1,1711
2024-01-02,Corson,984,6,719,271,2,246,,246
2024-01-02,Custer,1059,34,4885,1112,26,596,,954
2024-01-02,Davison,2741,28,6456,1814,38,1289,2,1343
2024-01-02,Day,1311,11,1808,568,,139,,240
2024-01-02,Deuel,645,9,1667,489,,221,,135
2024-01-02,Dewey,1794,2,739,404,,310,,273
2024-01-02,Douglas,214,,1638,143,,78,,123
2024-01-02,Edmunds,541,7,1715,262,2,114,,141
2024-01-02,Fall River,903,42,3735,917,,549,1,420
2024-01-02,Faulk,203,,1065,215,,25,,69
2024-01-02,Grant,1093,17,2617,702,11,291,,354
2024-01-02,Gregory,656,4,1749,328,,71,,165
2024-01-02,Haakon,122,3,1142,86,1,28,,54
2024-01-02,Hamlin,564,8,2898,365,,210,,234
2024-01-02,Hand,425,7,1595,182,4,47,,108
2024-01-02,Hanson,628,6,1776,498,4,324,,493
2024-01-02,Harding,68,6,816,73,1,34,,58
2024-01-02,Hughes,2097,46,7168,1366,21,739,1,1108
2024-01-02,Hutchinson,736,14,3342,499,6,280,,236
2024-01-02,Hyde,160,1,640,92,,20,,47
2024-01-02,Jackson,633,9,888,179,1,159,,60
2024-01-02,Jerauld,355,5,659,124,1,55,,74
2024-01-02,Jones,64,1,508,63,,26,1,45
2024-01-02,Kingsbury,721,9,2260,393,3,273,,281
2024-01-02,Lake,1961,26,4116,962,5,536,1,2093
2024-01-02,Lawrence,3763,161,11336,3097,46,2213,,2462
2024-01-02,Lincoln,9837,229,23548,7433,75,4535,,4985
2024-01-02,Lyman,679,6,1122,214,1,140,,100
2024-01-02,Marshall,978,3,1232,386,1,159,,169
2024-01-02,McCook,816,10,2253,502,,252,,153
2024-01-02,McPherson,205,8,1267,142,,65,,197
2024-01-02,Meade,2841,157,12100,2766,17,1884,,1514
2024-01-02,Mellette,399,3,497,173,,52,,68
2024-01-02,Miner,441,2,809,238,,98,,86
2024-01-02,Minnehaha,35782,705,55565,21870,263,17075,2,16541
2024-01-02,Moody,1352,14,1833,684,3,361,,232
2024-01-02,Oglala Lakota,5262,19,569,984,1,1057,,678
2024-01-02,Pennington,17503,654,44111,12636,218,10931,2,9655
2024-01-02,Perkins,275,4,1502,199,5,148,,172
2024-01-02,Potter,190,2,1329,116,6,38,,153
2024-01-02,Roberts,2436,11,2096,937,21,526,,473
2024-01-02,Sanborn,357,7,959,159,,129,,70
2024-01-02,Spink,1024,10,2431,443,3,184,,225
2024-01-02,Stanley,344,7,1492,193,,87,1,211
2024-01-02,Sully,169,4,804,116,,31,,68
2024-01-02,Todd,2686,7,646,553,6,494,,790
2024-01-02,Tripp,620,7,2321,350,6,191,,411
2024-01-02,Turner,1162,12,3462,882,,320,,251
2024-01-02,Union,2337,43,6106,2207,,1375,1,2203
2024-01-02,Walworth,632,9,2471,345,8,193,,324
2024-01-02,Yankton,3505,64,7092,2468,12,1182,,1684
2024-01-02,Ziebach,757,6,426,171,,214,,105
