date,county,republican,democratic,other
1990-10-22,Aurora,851,1238,97
1990-10-22,Beadle,4656,6159,1046
1990-10-22,Bennett,794,992,95
1990-10-22,Bon Homme,2371,2124,186
1990-10-22,Brookings,6998,4959,1949
1990-10-22,Brown,9259,11060,1694
1990-10-22,Brule,1232,1987,163
1990-10-22,Buffalo,232,783,34
1990-10-22,Butte,3210,1122,193
1990-10-22,Campbell,1347,217,28
1990-10-22,Charles Mix,2031,3518,253
1990-10-22,Clark,1658,1169,142
1990-10-22,Clay,2832,3168,795
1990-10-22,Codington,5537,5967,1484
1990-10-22,Corson,964,1235,126
1990-10-22,Custer,2305,1112,377
1990-10-22,Davison,4617,4944,992
1990-10-22,Day,1925,2570,210
1990-10-22,Deuel,1440,1421,311
1990-10-22,Dewey,1042,1893,224
1990-10-22,Douglas,1937,599,64
1990-10-22,Edmunds,1510,1436,169
1990-10-22,Fall River,2571,1634,405
1990-10-22,Faulk,1033,893,74
1990-10-22,Grant,2557,2192,447
1990-10-22,Gregory,1682,1743,109
1990-10-22,Haakon,1107,447,52
1990-10-22,Hamlin,1935,1157,209
1990-10-22,Hand,1618,1278,221
1990-10-22,Hanson,782,959,319
1990-10-22,Harding,783,301,53
1990-10-22,Hughes,6053,3084,876
1990-10-22,Hutchinson,4191,1425,151
1990-10-22,Hyde,635,563,64
1990-10-22,Jackson,959,628,84
1990-10-22,Jerauld,931,783,102
1990-10-22,Jones,714,280,27
1990-10-22,Kingsbury,2433,1370,200
1990-10-22,Lake,3457,2966,403
1990-10-22,Lawrence,6831,3989,1054
1990-10-22,Lincoln,4634,3522,742
1990-10-22,Lyman,1235,855,76
1990-10-22,Marshall,1318,1722,94
1990-10-22,McCook,1991,1711,312
1990-10-22,McPherson,1917,450,77
1990-10-22,Meade,6374,3928,948
1990-10-22,Mellette,662,603,68
1990-10-22,Miner,784,1245,153
1990-10-22,Minnehaha,34647,34429,5950
1990-10-22,Moody,1532,1974,357
1990-10-22,Pennington,24892,16252,4470
1990-10-22,Perkins,1582,1001,131
1990-10-22,Potter,1591,659,67
1990-10-22,Roberts,2006,3387,439
1990-10-22,Sanborn,1133,895,102
1990-10-22,Shannon,663,2936,476
1990-10-22,Spink,2135,2543,399
1990-10-22,Stanley,902,706,136
1990-10-22,Sully,738,530,33
1990-10-22,Todd,759,2577,363
1990-10-22,Tripp,2387,1762,249
1990-10-22,Turner,3483,1747,312
1990-10-22,Union,2280,3144,533
1990-10-22,Walworth,2511,1132,209
1990-10-22,Yankton,5366,4572,859
1990-10-22,Ziebach,494,534,97
