date,county,democratic,libertarian,republican,independent,other,npa,inactive
2026-05-01,Aurora,471,2,1002,229,3,101,73
2026-05-01,Beadle,2292,30,5215,1332,44,1217,698
2026-05-01,Bennett,654,8,719,202,2,201,128
2026-05-01,Bon Homme,806,10,2415,473,,239,256
2026-05-01,Brookings,4979,96,10269,3602,21,2830,1295
2026-05-01,Brown,6113,87,12481,3139,9,1857,2802
2026-05-01,Brule,828,12,1765,432,3,222,184
2026-05-01,Buffalo,521,2,154,81,4,106,55
2026-05-01,Butte,727,54,4635,855,23,683,993
2026-05-01,Campbell,93,2,893,67,,46,78
2026-05-01,Charles Mix,1717,7,2778,583,,382,317
2026-05-01,Clark,468,4,1685,251,,186,154
2026-05-01,Clay,2731,38,3010,1392,22,1077,1077
2026-05-01,Codington,3592,57,10574,2530,22,2173,1613
2026-05-01,Corson,910,4,752,271,3,301,213
2026-05-01,Custer,1002,40,5216,1121,26,696,707
2026-05-01,Davison,2674,33,7028,1900,34,1537,741
2026-05-01,Day,1161,11,2012,557,4,185,167
2026-05-01,Deuel,542,8,1823,476,1,317,73
2026-05-01,Dewey,1758,5,794,430,3,447,168
2026-05-01,Douglas,182,2,1666,128,,100,94
2026-05-01,Edmunds,454,6,1811,239,2,183,134
2026-05-01,Fall River,772,32,3894,786,3,662,898
2026-05-01,Faulk,157,,1120,210,,39,88
2026-05-01,Grant,953,19,2719,668,10,401,298
2026-05-01,Gregory,573,5,1875,324,,96,160
2026-05-01,Haakon,102,3,1140,78,4,47,53
2026-05-01,Hamlin,508,7,3089,367,1,301,212
2026-05-01,Hand,349,10,1649,182,3,53,57
2026-05-01,Hanson,491,4,1773,439,8,352,486
2026-05-01,Harding,57,4,824,71,2,48,32
2026-05-01,Hughes,2000,50,7252,1370,17,1057,956
2026-05-01,Hutchinson,674,15,3417,512,7,346,171
2026-05-01,Hyde,138,3,645,94,,32,49
2026-05-01,Jackson,556,7,926,166,1,175,116
2026-05-01,Jerauld,306,6,758,131,1,85,33
2026-05-01,Jones,53,1,513,55,,30,58
2026-05-01,Kingsbury,584,8,2302,359,3,336,252
2026-05-01,Lake,1765,25,4343,931,6,621,1483
2026-05-01,Lawrence,3806,165,12441,3297,52,2930,1947
2026-05-01,Lincoln,10035,212,26468,7864,97,5544,4044
2026-05-01,Lyman,626,4,1165,223,1,190,53
2026-05-01,Marshall,887,2,1344,373,2,184,135
2026-05-01,McCook,733,9,2437,491,4,275,154
2026-05-01,McPherson,163,7,1293,113,1,75,68
2026-05-01,Meade,2600,145,12990,2799,28,2132,1488
2026-05-01,Mellette,396,,509,212,,73,60
2026-05-01,Miner,395,4,855,217,1,103,64
2026-05-01,Minnehaha,34735,689,59455,22162,223,18932,13666
2026-05-01,Moody,1242,15,2033,698,4,430,114
2026-05-01,Oglala Lakota,5032,18,592,925,1,1219,765
2026-05-01,Pennington,16853,628,45805,12700,230,11540,11392
2026-05-01,Perkins,234,4,1563,177,5,153,172
2026-05-01,Potter,173,,1356,113,5,55,93
2026-05-01,Roberts,2229,9,2303,911,15,659,442
2026-05-01,Sanborn,337,7,1002,165,1,116,71
2026-05-01,Spink,902,10,2567,436,4,246,194
2026-05-01,Stanley,319,8,1592,194,,131,171
2026-05-01,Sully,147,4,840,107,2,43,65
2026-05-01,Todd,2604,5,650,590,3,559,669
2026-05-01,Tripp,504,4,2438,324,5,215,309
2026-05-01,Turner,1075,18,3720,871,,381,207
2026-05-01,Union,2152,49,6689,2113,12,1475,1462
2026-05-01,Walworth,527,11,2440,322,9,289,367
2026-05-01,Yankton,3195,57,7604,2405,21,1304,1302
2026-05-01,Ziebach,706,4,428,173,1,269,83
