date,county,democratic,libertarian,republican,independent,other,npa,inactive
2026-06-02,Aurora,462,2,1008,228,3,101,73
2026-06-02,Beadle,2282,30,5312,1337,44,1203,698
2026-06-02,Bennett,657,7,722,202,2,200,128
2026-06-02,Bon Homme,802,10,2425,470,,239,254
2026-06-02,Brookings,4954,96,10347,3581,22,2833,1294
2026-06-02,Brown,6005,85,12698,3083,8,1854,2791
2026-06-02,Brule,821,12,1784,428,2,221,185
2026-06-02,Buffalo,523,4,159,85,4,107,54
2026-06-02,Butte,724,55,4662,843,24,678,991
2026-06-02,Campbell,92,2,897,65,,46,78
2026-06-02,Charles Mix,1697,7,2785,581,,379,290
2026-06-02,Clark,460,4,1734,252,,181,153
2026-06-02,Clay,2734,38,3027,1393,21,1081,1076
2026-06-02,Codington,3571,57,10624,2519,21,2171,1609
2026-06-02,Corson,911,4,756,269,3,301,212
2026-06-02,Custer,999,40,5240,1117,26,690,706
2026-06-02,Davison,2653,33,7090,1886,34,1530,736
2026-06-02,Day,1149,11,2029,551,3,185,166
2026-06-02,Deuel,537,8,1835,472,1,315,73
2026-06-02,Dewey,1757,5,800,429,3,446,168
2026-06-02,Douglas,183,2,1682,125,,100,93
2026-06-02,Edmunds,443,6,1815,239,2,182,135
2026-06-02,Fall River,772,32,3915,785,3,657,895
2026-06-02,Faulk,152,,1146,198,,38,86
2026-06-02,Grant,947,19,2739,663,9,397,296
2026-06-02,Gregory,553,4,1910,313,,100,158
2026-06-02,Haakon,101,3,1142,79,4,50,52
2026-06-02,Hamlin,502,8,3105,364,1,296,212
2026-06-02,Hand,341,10,1653,180,3,53,57
2026-06-02,Hanson,488,4,1785,435,8,354,486
2026-06-02,Harding,57,4,825,71,3,48,32
2026-06-02,Hughes,1987,50,7282,1360,17,1051,967
2026-06-02,Hutchinson,668,15,3432,511,7,343,170
2026-06-02,Hyde,137,3,652,97,,31,48
2026-06-02,Jackson,554,7,927,166,1,176,116
2026-06-02,Jerauld,307,6,760,130,1,86,33
2026-06-02,Jones,51,1,501,53,,28,64
2026-06-02,Kingsbury,581,9,2324,356,3,338,252
2026-06-02,Lake,1752,25,4362,934,6,622,1481
2026-06-02,Lawrence,3796,164,12521,3298,52,2932,1944
2026-06-02,Lincoln,10026,213,26628,7880,95,5553,4029
2026-06-02,Lyman,624,4,1173,224,1,189,53
2026-06-02,Marshall,874,2,1361,363,2,184,137
2026-06-02,McCook,723,10,2446,482,4,276,171
2026-06-02,McPherson,165,7,1315,112,1,71,66
2026-06-02,Meade,2594,144,13043,2790,28,2139,1473
2026-06-02,Mellette,389,,508,212,,72,64
2026-06-02,Miner,392,4,871,220,1,103,63
2026-06-02,Minnehaha,34725,687,59726,22151,217,19007,13656
2026-06-02,Moody,1238,15,2050,693,4,427,114
2026-06-02,Oglala Lakota,5038,17,589,927,1,1224,764
2026-06-02,Pennington,16806,629,45967,12683,236,11548,11418
2026-06-02,Perkins,233,4,1575,178,5,153,170
2026-06-02,Potter,166,,1364,113,5,54,93
2026-06-02,Roberts,2214,9,2315,908,15,656,439
2026-06-02,Sanborn,337,7,1005,165,1,116,71
2026-06-02,Spink,888,10,2584,438,4,251,194
2026-06-02,Stanley,311,8,1615,189,,129,169
2026-06-02,Sully,146,4,843,107,2,42,65
2026-06-02,Todd,2612,6,651,598,3,565,670
2026-06-02,Tripp,503,5,2463,316,5,208,304
2026-06-02,Turner,1069,19,3733,869,1,380,206
2026-06-02,Union,2145,50,6729,2104,12,1477,1464
2026-06-02,Walworth,527,10,2448,321,9,289,366
2026-06-02,Yankton,3143,56,7728,2386,21,1300,1297
2026-06-02,Ziebach,705,4,432,177,1,271,83
