date,county,republican,democratic,other
1986-11-04,Aurora,911,1308,95
1986-11-04,Beadle,4741,6246,1056
1986-11-04,Bennett,902,1158,117
1986-11-04,Bon Homme,2590,2275,225
1986-11-04,Brookings,7284,5184,2312
1986-11-04,Brown,9784,11639,1815
1986-11-04,Brule,1270,2093,131
1986-11-04,Buffalo,278,787,55
1986-11-04,Butte,3355,1115,167
1986-11-04,Campbell,1477,232,29
1986-11-04,Charles Mix,1983,3675,262
1986-11-04,Clark,1826,1284,140
1986-11-04,Clay,3211,3575,982
1986-11-04,Codington,5412,5859,1560
1986-11-04,Corson,1062,1484,174
1986-11-04,Custer,2280,1290,509
1986-11-04,Davison,4467,5211,913
1986-11-04,Day,2086,2801,225
1986-11-04,Deuel,1542,1374,331
1986-11-04,Dewey,1154,1748,262
1986-11-04,Douglas,2003,651,85
1986-11-04,Edmunds,1570,1559,131
1986-11-04,Fall River,2848,1924,521
1986-11-04,Faulk,1024,974,185
1986-11-04,Grant,2643,2342,537
1986-11-04,Gregory,1806,1927,136
1986-11-04,Haakon,1187,491,55
1986-11-04,Hamlin,1918,1245,329
1986-11-04,Hand,1777,1405,238
1986-11-04,Hanson,816,955,280
1986-11-04,Harding,788,340,54
1986-11-04,Hughes,5476,2971,909
1986-11-04,Hutchinson,4227,1427,109
1986-11-04,Hyde,702,627,79
1986-11-04,Jackson,1014,653,61
1986-11-04,Jerauld,948,831,113
1986-11-04,Jones,641,328,26
1986-11-04,Kingsbury,2578,1413,235
1986-11-04,Lake,3558,2966,388
1986-11-04,Lawrence,6444,3800,919
1986-11-04,Lincoln,4489,3418,757
1986-11-04,Lyman,1321,928,75
1986-11-04,Marshall,1432,1892,95
1986-11-04,McCook,2098,1833,347
1986-11-04,McPherson,2101,497,86
1986-11-04,Meade,5717,3710,907
1986-11-04,Mellette,741,713,98
1986-11-04,Miner,862,1380,157
1986-11-04,Minnehaha,34345,34148,5974
1986-11-04,Moody,1678,2061,361
1986-11-04,Pennington,23200,15821,4200
1986-11-04,Perkins,1691,1151,163
1986-11-04,Potter,1732,703,63
1986-11-04,Roberts,2062,3687,552
1986-11-04,Sanborn,1076,969,124
1986-11-04,Shannon,699,3106,334
1986-11-04,Spink,2305,2640,437
1986-11-04,Stanley,872,733,130
1986-11-04,Sully,791,535,55
1986-11-04,Todd,867,2457,327
1986-11-04,Tripp,2552,2026,317
1986-11-04,Turner,3705,1738,319
1986-11-04,Union,2325,3209,629
1986-11-04,Walworth,2629,1227,212
1986-11-04,Yankton,5520,4635,857
1986-11-04,Ziebach,542,538,116
