date,county,democratic,libertarian,republican,independent,other,npa,inactive
2026-04-01,Aurora,473,2,1003,229,3,99,73
2026-04-01,Beadle,2295,31,5204,1325,46,1213,699
2026-04-01,Bennett,659,8,720,197,2,199,127
2026-04-01,Bon Homme,812,10,2414,474,,233,257
2026-04-01,Brookings,4989,96,10228,3608,21,2827,1300
2026-04-01,Brown,6198,87,12359,3159,10,1842,2812
2026-04-01,Brule,834,13,1747,438,3,224,185
2026-04-01,Buffalo,523,2,152,81,4,105,56
2026-04-01,Butte,730,54,4616,858,23,676,996
2026-04-01,Campbell,93,2,891,68,,46,78
2026-04-01,Charles Mix,1729,8,2762,582,1,380,321
2026-04-01,Clark,470,4,1676,250,,185,154
2026-04-01,Clay,2731,38,3001,1396,22,1077,1078
2026-04-01,Codington,3612,57,10543,2527,22,2180,1616
2026-04-01,Corson,906,4,749,270,3,300,214
2026-04-01,Custer,1006,40,5186,1127,25,695,705
2026-04-01,Davison,2684,32,7003,1904,34,1534,743
2026-04-01,Day,1167,11,2003,555,4,184,168
2026-04-01,Deuel,548,8,1815,477,1,321,73
2026-04-01,Dewey,1760,5,794,427,3,446,169
2026-04-01,Douglas,183,2,1660,127,,99,92
2026-04-01,Edmunds,478,6,1810,246,2,184,105
2026-04-01,Fall River,769,32,3872,791,3,670,897
2026-04-01,Faulk,166,,1087,213,,43,88
2026-04-01,Grant,962,19,2697,672,10,401,300
2026-04-01,Gregory,578,4,1856,332,,95,161
2026-04-01,Haakon,102,2,1134,80,4,44,53
2026-04-01,Hamlin,512,7,3076,370,1,301,214
2026-04-01,Hand,355,10,1648,183,3,51,57
2026-04-01,Hanson,494,4,1770,438,8,353,486
2026-04-01,Harding,57,4,824,72,2,44,32
2026-04-01,Hughes,2065,52,7340,1403,18,1077,748
2026-04-01,Hutchinson,678,15,3405,510,8,345,173
2026-04-01,Hyde,138,3,643,94,,34,49
2026-04-01,Jackson,568,7,932,170,1,175,92
2026-04-01,Jerauld,311,6,756,134,1,85,33
2026-04-01,Jones,54,1,507,56,,29,59
2026-04-01,Kingsbury,596,7,2289,360,3,335,250
2026-04-01,Lake,1777,25,4335,933,6,622,1482
2026-04-01,Lawrence,3807,165,12370,3288,49,2918,1951
2026-04-01,Lincoln,10024,216,26313,7846,97,5517,4055
2026-04-01,Lyman,627,4,1169,224,1,189,55
2026-04-01,Marshall,901,2,1346,374,2,184,99
2026-04-01,McCook,743,9,2411,497,4,277,154
2026-04-01,McPherson,163,7,1283,117,1,77,68
2026-04-01,Meade,2604,145,12942,2798,28,2128,1491
2026-04-01,Mellette,398,,505,208,,72,61
2026-04-01,Miner,400,4,852,216,1,105,66
2026-04-01,Minnehaha,34740,691,59140,22162,224,18868,13691
2026-04-01,Moody,1246,15,2022,696,4,431,115
2026-04-01,Oglala Lakota,5027,18,593,920,1,1222,770
2026-04-01,Pennington,16837,635,45616,12693,230,11526,11344
2026-04-01,Perkins,235,4,1558,175,5,153,172
2026-04-01,Potter,176,1,1357,115,5,54,93
2026-04-01,Roberts,2239,9,2286,912,15,655,443
2026-04-01,Sanborn,339,7,999,165,1,117,71
2026-04-01,Spink,912,10,2556,439,4,243,196
2026-04-01,Stanley,321,7,1577,198,,129,173
2026-04-01,Sully,151,4,834,110,2,43,65
2026-04-01,Todd,2599,5,651,583,3,558,672
2026-04-01,Tripp,509,4,2425,328,5,217,311
2026-04-01,Turner,1080,17,3712,869,2,389,209
2026-04-01,Union,2161,49,6644,2122,11,1469,1464
2026-04-01,Walworth,529,11,2438,323,10,288,366
2026-04-01,Yankton,3233,56,7529,2410,20,1305,1302
2026-04-01,Ziebach,705,4,430,173,1,271,83
