date,county,democratic,libertarian,republican,independent,other,npa,no_labels,inactive
2024-06-03,Aurora,530,2,958,223,2,94,,111
2024-06-03,Beadle,2558,27,4933,1388,39,1087,1,710
2024-06-03,Bennett,730,6,729,221,2,197,,122
2024-06-03,Bon Homme,902,10,2299,477,,210,,300
2024-06-03,Brookings,4970,101,9503,3535,21,2567,,1632
2024-06-03,Brown,7293,94,12434,3548,11,1771,1,1156
2024-06-03,Brule,909,14,1686,452,4,197,,178
2024-06-03,Buffalo,530,2,151,67,3,80,,123
2024-06-03,Butte,778,56,4456,891,18,602,,1361
2024-06-03,Campbell,103,1,907,74,,36,,78
2024-06-03,Charles Mix,1741,9,2650,563,,336,,471
2024-06-03,Clark,554,3,1585,262,,152,,146
2024-06-03,Clay,2819,38,2876,1348,10,1037,1,1254
2024-06-03,Codington,3871,62,9961,2547,27,1635,,1689
2024-06-03,Corson,972,6,729,274,2,254,,234
2024-06-03,Custer,1063,34,4978,1114,24,609,,954
2024-06-03,Davison,2742,29,6607,1836,37,1368,3,1329
2024-06-03,Day,1282,11,1848,570,,147,,236
2024-06-03,Deuel,617,10,1693,488,,253,,130
2024-06-03,Dewey,1783,3,750,405,,341,,263
2024-06-03,Douglas,206,,1637,141,,86,,123
2024-06-03,Edmunds,533,7,1735,259,1,159,,137
2024-06-03,Fall River,892,42,3812,919,1,584,1,416
2024-06-03,Faulk,198,,1110,215,,29,,61
2024-06-03,Grant,1072,17,2641,704,12,314,,348
2024-06-03,Gregory,637,4,1784,326,,74,,160
2024-06-03,Haakon,123,2,1150,84,2,26,,61
2024-06-03,Hamlin,541,8,2966,368,,235,,227
2024-06-03,Hand,417,7,1618,180,4,50,,102
2024-06-03,Hanson,616,5,1801,498,5,351,,491
2024-06-03,Harding,65,6,822,72,1,38,,53
2024-06-03,Hughes,2101,45,7183,1365,18,796,1,1086
2024-06-03,Hutchinson,725,14,3388,515,5,299,,222
2024-06-03,Hyde,158,1,645,94,,23,,45
2024-06-03,Jackson,583,9,893,164,2,160,,138
2024-06-03,Jerauld,344,5,679,129,1,55,,74
2024-06-03,Jones,64,1,505,61,,29,1,54
2024-06-03,Kingsbury,684,9,2280,395,3,289,,303
2024-06-03,Lake,1929,26,4173,952,6,566,1,2083
2024-06-03,Lawrence,3781,170,11634,3133,46,2306,2,2446
2024-06-03,Lincoln,9856,226,24088,7506,77,4701,,4933
2024-06-03,Lyman,674,5,1144,214,1,148,,101
2024-06-03,Marshall,971,2,1248,380,2,163,,170
2024-06-03,McCook,791,9,2270,510,,260,,160
2024-06-03,McPherson,201,8,1297,136,,64,,183
2024-06-03,Meade,2822,164,12390,2817,17,1975,,1471
2024-06-03,Mellette,395,3,500,175,,57,,67
2024-06-03,Miner,433,3,821,231,,100,,84
2024-06-03,Minnehaha,35251,716,56124,21911,262,17198,3,18444
2024-06-03,Moody,1327,15,1864,682,4,373,1,226
2024-06-03,Oglala Lakota,5174,19,579,988,1,1138,,664
2024-06-03,Pennington,17487,666,44842,12763,206,11260,4,9839
2024-06-03,Perkins,269,4,1537,197,5,155,,171
2024-06-03,Potter,182,1,1342,111,5,40,1,152
2024-06-03,Roberts,2395,9,2164,934,20,562,,478
2024-06-03,Sanborn,355,7,960,160,,126,1,69
2024-06-03,Spink,997,11,2487,441,2,199,,216
2024-06-03,Stanley,334,7,1529,187,,96,,206
2024-06-03,Sully,165,5,811,113,,34,,67
2024-06-03,Todd,2676,7,662,563,5,523,,788
2024-06-03,Tripp,594,6,2383,348,7,195,,407
2024-06-03,Turner,1146,13,3533,894,,334,,250
2024-06-03,Union,2296,44,6305,2194,7,1394,1,2188
2024-06-03,Walworth,589,8,2440,341,10,223,,442
2024-06-03,Yankton,3453,62,7237,2492,15,1225,,1631
2024-06-03,Ziebach,745,5,420,174,,231,,98
